Data split into training (915 samples), validation (114 samples), and testing (114 samples) sets.
Number of classes: 6
Feature data normalized using z-score normalization.
                                                                                                                                                                                                            
Epoch: 0 	Train:[Loss: 0.2350, Acc: 0.2383] 	Val:[Loss: 0.2194, Acc: 0.2917]
Epoch: 128 	Train:[Loss: 0.0945, Acc: 0.6068] 	Val:[Loss: 0.1469, Acc: 0.4271]
Epoch: 256 	Train:[Loss: 0.0784, Acc: 0.6576] 	Val:[Loss: 0.1463, Acc: 0.4688]
Epoch: 384 	Train:[Loss: 0.0705, Acc: 0.6901] 	Val:[Loss: 0.1375, Acc: 0.4896]
Epoch: 512 	Train:[Loss: 0.0639, Acc: 0.7318] 	Val:[Loss: 0.1370, Acc: 0.4583]
Epoch: 640 	Train:[Loss: 0.0594, Acc: 0.7526] 	Val:[Loss: 0.1365, Acc: 0.4896]
Epoch: 768 	Train:[Loss: 0.0552, Acc: 0.7708] 	Val:[Loss: 0.1339, Acc: 0.5000]
Epoch: 896 	Train:[Loss: 0.0519, Acc: 0.7891] 	Val:[Loss: 0.1312, Acc: 0.5104]
Epoch: 1024 	Train:[Loss: 0.0489, Acc: 0.8034] 	Val:[Loss: 0.1294, Acc: 0.5104]
Epoch: 1152 	Train:[Loss: 0.0465, Acc: 0.8112] 	Val:[Loss: 0.1285, Acc: 0.5104]
Epoch: 1280 	Train:[Loss: 0.0444, Acc: 0.8190] 	Val:[Loss: 0.1278, Acc: 0.4896]
Epoch: 1408 	Train:[Loss: 0.0426, Acc: 0.8242] 	Val:[Loss: 0.1276, Acc: 0.4896]
Epoch: 1536 	Train:[Loss: 0.0410, Acc: 0.8242] 	Val:[Loss: 0.1270, Acc: 0.4688]
Epoch: 1664 	Train:[Loss: 0.0394, Acc: 0.8320] 	Val:[Loss: 0.1260, Acc: 0.4792]
Epoch: 1792 	Train:[Loss: 0.0380, Acc: 0.8359] 	Val:[Loss: 0.1249, Acc: 0.4896]
Epoch: 1920 	Train:[Loss: 0.0367, Acc: 0.8451] 	Val:[Loss: 0.1239, Acc: 0.5000]
Epoch: 2048 	Train:[Loss: 0.0355, Acc: 0.8555] 	Val:[Loss: 0.1230, Acc: 0.5000]
Epoch: 2176 	Train:[Loss: 0.0344, Acc: 0.8620] 	Val:[Loss: 0.1222, Acc: 0.5104]
Epoch: 2304 	Train:[Loss: 0.0335, Acc: 0.8698] 	Val:[Loss: 0.1214, Acc: 0.5104]
Epoch: 2432 	Train:[Loss: 0.0326, Acc: 0.8737] 	Val:[Loss: 0.1206, Acc: 0.5000]
Epoch: 2560 	Train:[Loss: 0.0318, Acc: 0.8737] 	Val:[Loss: 0.1200, Acc: 0.5000]
Epoch: 2688 	Train:[Loss: 0.0310, Acc: 0.8789] 	Val:[Loss: 0.1195, Acc: 0.5000]
Epoch: 2816 	Train:[Loss: 0.0303, Acc: 0.8828] 	Val:[Loss: 0.1190, Acc: 0.5000]
Epoch: 2944 	Train:[Loss: 0.0296, Acc: 0.8867] 	Val:[Loss: 0.1186, Acc: 0.5104]
Epoch: 3072 	Train:[Loss: 0.0290, Acc: 0.8945] 	Val:[Loss: 0.1182, Acc: 0.5208]
Epoch: 3200 	Train:[Loss: 0.0284, Acc: 0.8997] 	Val:[Loss: 0.1178, Acc: 0.5208]
Epoch: 3328 	Train:[Loss: 0.0278, Acc: 0.9036] 	Val:[Loss: 0.1175, Acc: 0.5208]
Epoch: 3456 	Train:[Loss: 0.0273, Acc: 0.9062] 	Val:[Loss: 0.1173, Acc: 0.5208]
Epoch: 3584 	Train:[Loss: 0.0268, Acc: 0.9062] 	Val:[Loss: 0.1170, Acc: 0.5208]
Epoch: 3712 	Train:[Loss: 0.0263, Acc: 0.9076] 	Val:[Loss: 0.1168, Acc: 0.5208]
Epoch: 3840 	Train:[Loss: 0.0258, Acc: 0.9089] 	Val:[Loss: 0.1167, Acc: 0.5208]
Epoch: 3968 	Train:[Loss: 0.0254, Acc: 0.9089] 	Val:[Loss: 0.1166, Acc: 0.5208]
Epoch: 4096 	Train:[Loss: 0.0250, Acc: 0.9115] 	Val:[Loss: 0.1165, Acc: 0.5208]
Epoch: 4224 	Train:[Loss: 0.0246, Acc: 0.9115] 	Val:[Loss: 0.1164, Acc: 0.5312]
Epoch: 4352 	Train:[Loss: 0.0243, Acc: 0.9128] 	Val:[Loss: 0.1164, Acc: 0.5312]
Epoch: 4480 	Train:[Loss: 0.0239, Acc: 0.9154] 	Val:[Loss: 0.1164, Acc: 0.5312]
Epoch: 4608 	Train:[Loss: 0.0236, Acc: 0.9167] 	Val:[Loss: 0.1164, Acc: 0.5312]
