Data split into training (915 samples), validation (114 samples), and testing (114 samples) sets.
Number of classes: 6
Feature data normalized using z-score normalization.
                                                                                                                                                                                                            
Epoch: 0 	Train:[Loss: 0.1166, Acc: 0.4263] 	Val:[Loss: 0.1101, Acc: 0.4375]
Epoch: 32 	Train:[Loss: 0.1052, Acc: 0.4554] 	Val:[Loss: 0.1018, Acc: 0.5104]
Epoch: 64 	Train:[Loss: 0.1035, Acc: 0.4855] 	Val:[Loss: 0.0978, Acc: 0.5417]
Epoch: 96 	Train:[Loss: 0.1031, Acc: 0.4955] 	Val:[Loss: 0.0964, Acc: 0.5521]
Epoch: 128 	Train:[Loss: 0.1027, Acc: 0.4933] 	Val:[Loss: 0.0959, Acc: 0.5625]
Epoch: 160 	Train:[Loss: 0.1023, Acc: 0.4967] 	Val:[Loss: 0.0954, Acc: 0.5417]
Epoch: 192 	Train:[Loss: 0.1015, Acc: 0.4944] 	Val:[Loss: 0.0941, Acc: 0.5729]
Epoch: 224 	Train:[Loss: 0.1002, Acc: 0.5011] 	Val:[Loss: 0.0924, Acc: 0.5625]
Epoch: 256 	Train:[Loss: 0.0978, Acc: 0.5190] 	Val:[Loss: 0.0894, Acc: 0.5833]
Epoch: 288 	Train:[Loss: 0.0956, Acc: 0.5569] 	Val:[Loss: 0.0884, Acc: 0.5938]
Epoch: 320 	Train:[Loss: 0.0952, Acc: 0.5558] 	Val:[Loss: 0.0891, Acc: 0.5833]
Epoch: 352 	Train:[Loss: 0.0946, Acc: 0.5569] 	Val:[Loss: 0.0883, Acc: 0.6042]
Epoch: 384 	Train:[Loss: 0.0940, Acc: 0.5569] 	Val:[Loss: 0.0870, Acc: 0.6042]
Epoch: 416 	Train:[Loss: 0.0934, Acc: 0.5580] 	Val:[Loss: 0.0859, Acc: 0.6042]
Epoch: 448 	Train:[Loss: 0.0929, Acc: 0.5603] 	Val:[Loss: 0.0849, Acc: 0.6042]
Epoch: 480 	Train:[Loss: 0.0925, Acc: 0.5603] 	Val:[Loss: 0.0841, Acc: 0.6250]
Epoch: 512 	Train:[Loss: 0.0922, Acc: 0.5614] 	Val:[Loss: 0.0835, Acc: 0.6146]
Epoch: 544 	Train:[Loss: 0.0919, Acc: 0.5681] 	Val:[Loss: 0.0829, Acc: 0.6146]
Epoch: 576 	Train:[Loss: 0.0916, Acc: 0.5692] 	Val:[Loss: 0.0824, Acc: 0.6250]
Epoch: 608 	Train:[Loss: 0.0913, Acc: 0.5725] 	Val:[Loss: 0.0820, Acc: 0.6458]
Epoch: 640 	Train:[Loss: 0.0911, Acc: 0.5725] 	Val:[Loss: 0.0816, Acc: 0.6562]
Epoch: 672 	Train:[Loss: 0.0908, Acc: 0.5725] 	Val:[Loss: 0.0812, Acc: 0.6667]
Epoch: 704 	Train:[Loss: 0.0906, Acc: 0.5748] 	Val:[Loss: 0.0810, Acc: 0.6667]
Epoch: 736 	Train:[Loss: 0.0904, Acc: 0.5759] 	Val:[Loss: 0.0808, Acc: 0.6667]
Epoch: 768 	Train:[Loss: 0.0902, Acc: 0.5781] 	Val:[Loss: 0.0806, Acc: 0.6667]
Epoch: 800 	Train:[Loss: 0.0901, Acc: 0.5826] 	Val:[Loss: 0.0806, Acc: 0.6562]
Epoch: 832 	Train:[Loss: 0.0899, Acc: 0.5848] 	Val:[Loss: 0.0805, Acc: 0.6562]
Epoch: 864 	Train:[Loss: 0.0898, Acc: 0.5848] 	Val:[Loss: 0.0805, Acc: 0.6562]
Epoch: 896 	Train:[Loss: 0.0897, Acc: 0.5848] 	Val:[Loss: 0.0805, Acc: 0.6667]
Epoch: 928 	Train:[Loss: 0.0896, Acc: 0.5848] 	Val:[Loss: 0.0806, Acc: 0.6667]
Epoch: 960 	Train:[Loss: 0.0895, Acc: 0.5882] 	Val:[Loss: 0.0806, Acc: 0.6667]
Epoch: 992 	Train:[Loss: 0.0894, Acc: 0.5871] 	Val:[Loss: 0.0807, Acc: 0.6771]
