Data split into training (915 samples), validation (114 samples), and testing (114 samples) sets.
Number of classes: 6
Feature data normalized using z-score normalization.
                                                                                                                                                                                                            
Epoch: 0 	Train:[Loss: 0.3058, Acc: 0.0352] 	Val:[Loss: 0.2870, Acc: 0.0729]
Epoch: 128 	Train:[Loss: 0.1017, Acc: 0.5547] 	Val:[Loss: 0.1379, Acc: 0.4479]
Epoch: 256 	Train:[Loss: 0.0881, Acc: 0.6003] 	Val:[Loss: 0.1209, Acc: 0.5417]
Epoch: 384 	Train:[Loss: 0.0816, Acc: 0.6211] 	Val:[Loss: 0.1157, Acc: 0.5521]
Epoch: 512 	Train:[Loss: 0.0764, Acc: 0.6615] 	Val:[Loss: 0.1126, Acc: 0.5625]
Epoch: 640 	Train:[Loss: 0.0733, Acc: 0.6641] 	Val:[Loss: 0.1088, Acc: 0.5521]
Epoch: 768 	Train:[Loss: 0.0698, Acc: 0.6888] 	Val:[Loss: 0.1068, Acc: 0.5729]
Epoch: 896 	Train:[Loss: 0.0672, Acc: 0.7005] 	Val:[Loss: 0.1060, Acc: 0.5938]
Epoch: 1024 	Train:[Loss: 0.0653, Acc: 0.7161] 	Val:[Loss: 0.1057, Acc: 0.6042]
Epoch: 1152 	Train:[Loss: 0.0639, Acc: 0.7227] 	Val:[Loss: 0.1055, Acc: 0.5938]
Epoch: 1280 	Train:[Loss: 0.0627, Acc: 0.7266] 	Val:[Loss: 0.1055, Acc: 0.5938]
Epoch: 1408 	Train:[Loss: 0.0616, Acc: 0.7253] 	Val:[Loss: 0.1052, Acc: 0.5938]
Epoch: 1536 	Train:[Loss: 0.0605, Acc: 0.7344] 	Val:[Loss: 0.1047, Acc: 0.5938]
Epoch: 1664 	Train:[Loss: 0.0596, Acc: 0.7383] 	Val:[Loss: 0.1043, Acc: 0.6042]
Epoch: 1792 	Train:[Loss: 0.0587, Acc: 0.7409] 	Val:[Loss: 0.1041, Acc: 0.6250]
Epoch: 1920 	Train:[Loss: 0.0578, Acc: 0.7448] 	Val:[Loss: 0.1040, Acc: 0.6250]
Epoch: 2048 	Train:[Loss: 0.0570, Acc: 0.7526] 	Val:[Loss: 0.1037, Acc: 0.6250]
Epoch: 2176 	Train:[Loss: 0.0563, Acc: 0.7565] 	Val:[Loss: 0.1034, Acc: 0.6354]
Epoch: 2304 	Train:[Loss: 0.0555, Acc: 0.7591] 	Val:[Loss: 0.1031, Acc: 0.6354]
