Data split into training (915 samples), validation (114 samples), and testing (114 samples) sets.
Number of classes: 6
Feature data normalized using z-score normalization.
Training:  82%|████████████████████████████████████████████████████████████████████████████████████████████████▉                      | 815/1000 [04:14<00:06, 28.93epoch/s, Train Acc=0.702, Val Acc=0.615]
Epoch: 0 	Train:[Loss: 1.8777, Acc: 0.3828] 	Val:[Loss: 1.2413, Acc: 0.5521]
Epoch: 32 	Train:[Loss: 1.1141, Acc: 0.5033] 	Val:[Loss: 1.0798, Acc: 0.5521]
Epoch: 64 	Train:[Loss: 1.0760, Acc: 0.5312] 	Val:[Loss: 1.0027, Acc: 0.5208]
Epoch: 96 	Train:[Loss: 1.0401, Acc: 0.5569] 	Val:[Loss: 1.0580, Acc: 0.5312]
Epoch: 128 	Train:[Loss: 1.0252, Acc: 0.5446] 	Val:[Loss: 0.9656, Acc: 0.5521]
Epoch: 160 	Train:[Loss: 0.9996, Acc: 0.5636] 	Val:[Loss: 0.9301, Acc: 0.5833]
Epoch: 192 	Train:[Loss: 0.9937, Acc: 0.5692] 	Val:[Loss: 0.9422, Acc: 0.5938]
Epoch: 224 	Train:[Loss: 0.9893, Acc: 0.5681] 	Val:[Loss: 0.9583, Acc: 0.5521]
Epoch: 256 	Train:[Loss: 0.9451, Acc: 0.6049] 	Val:[Loss: 0.9727, Acc: 0.5833]
Epoch: 288 	Train:[Loss: 0.9526, Acc: 0.5949] 	Val:[Loss: 0.9042, Acc: 0.6354]
Epoch: 320 	Train:[Loss: 0.9525, Acc: 0.5859] 	Val:[Loss: 0.9554, Acc: 0.6458]
Epoch: 352 	Train:[Loss: 0.9043, Acc: 0.6228] 	Val:[Loss: 0.9860, Acc: 0.6146]
Epoch: 384 	Train:[Loss: 0.9481, Acc: 0.5938] 	Val:[Loss: 0.9304, Acc: 0.6250]
Epoch: 416 	Train:[Loss: 0.8879, Acc: 0.6373] 	Val:[Loss: 1.0039, Acc: 0.5938]
Epoch: 448 	Train:[Loss: 0.8386, Acc: 0.6574] 	Val:[Loss: 0.8954, Acc: 0.6354]
Epoch: 480 	Train:[Loss: 0.8433, Acc: 0.6451] 	Val:[Loss: 0.9709, Acc: 0.5938]
Epoch: 512 	Train:[Loss: 0.8247, Acc: 0.6719] 	Val:[Loss: 1.1105, Acc: 0.6250]
Epoch: 544 	Train:[Loss: 0.8204, Acc: 0.6585] 	Val:[Loss: 1.0362, Acc: 0.6146]
Epoch: 576 	Train:[Loss: 0.9685, Acc: 0.6071] 	Val:[Loss: 1.1019, Acc: 0.5521]
Epoch: 608 	Train:[Loss: 0.8959, Acc: 0.6228] 	Val:[Loss: 1.0753, Acc: 0.6146]
Epoch: 640 	Train:[Loss: 0.8013, Acc: 0.6763] 	Val:[Loss: 1.0734, Acc: 0.6042]
Epoch: 672 	Train:[Loss: 0.7734, Acc: 0.6819] 	Val:[Loss: 1.1985, Acc: 0.6354]
Epoch: 704 	Train:[Loss: 0.8110, Acc: 0.6685] 	Val:[Loss: 1.2067, Acc: 0.6250]
Epoch: 736 	Train:[Loss: 0.8598, Acc: 0.6306] 	Val:[Loss: 1.1755, Acc: 0.6146]
Epoch: 768 	Train:[Loss: 0.7859, Acc: 0.6819] 	Val:[Loss: 1.2582, Acc: 0.6042]
Epoch: 800 	Train:[Loss: 0.7858, Acc: 0.6663] 	Val:[Loss: 1.2400, Acc: 0.5833]
