Data split into training (915 samples), validation (114 samples), and testing (114 samples) sets.
Number of classes: 6
Feature data normalized using z-score normalization.
Layer: [in:11] [out:16] [activation:Softmax]
Layer: [in:16] [out:64] [activation:Softmax]
Layer: [in:64] [out:128] [activation:Softmax]
Layer: [in:128] [out:256] [activation:Softmax]
Layer: [in:256] [out:6] [activation:Softmax]
                                                                                                                                                                                                            

Epoch: 0 	Train:[Loss: 1.7412, Acc: 0.2042] 	Val:[Loss: 1.5163, Acc: 0.3958]
Epoch: 32 	Train:[Loss: 1.1948, Acc: 0.4263] 	Val:[Loss: 1.1580, Acc: 0.4375]
Epoch: 64 	Train:[Loss: 1.1934, Acc: 0.4263] 	Val:[Loss: 1.1541, Acc: 0.4375]
Epoch: 96 	Train:[Loss: 1.1933, Acc: 0.4263] 	Val:[Loss: 1.1529, Acc: 0.4375]
Epoch: 128 	Train:[Loss: 1.1932, Acc: 0.4263] 	Val:[Loss: 1.1524, Acc: 0.4375]
Epoch: 160 	Train:[Loss: 1.1932, Acc: 0.4263] 	Val:[Loss: 1.1522, Acc: 0.4375]
Epoch: 192 	Train:[Loss: 1.1932, Acc: 0.4263] 	Val:[Loss: 1.1521, Acc: 0.4375]
Epoch: 224 	Train:[Loss: 1.1932, Acc: 0.4263] 	Val:[Loss: 1.1520, Acc: 0.4375]
Epoch: 256 	Train:[Loss: 1.1932, Acc: 0.4263] 	Val:[Loss: 1.1520, Acc: 0.4375]
Epoch: 288 	Train:[Loss: 1.1932, Acc: 0.4263] 	Val:[Loss: 1.1519, Acc: 0.4375]
Epoch: 320 	Train:[Loss: 1.1932, Acc: 0.4263] 	Val:[Loss: 1.1519, Acc: 0.4375]
Epoch: 352 	Train:[Loss: 1.1932, Acc: 0.4263] 	Val:[Loss: 1.1519, Acc: 0.4375]
Epoch: 384 	Train:[Loss: 1.1932, Acc: 0.4263] 	Val:[Loss: 1.1519, Acc: 0.4375]
Epoch: 416 	Train:[Loss: 1.1932, Acc: 0.4263] 	Val:[Loss: 1.1519, Acc: 0.4375]
Epoch: 448 	Train:[Loss: 1.1932, Acc: 0.4263] 	Val:[Loss: 1.1519, Acc: 0.4375]
Epoch: 480 	Train:[Loss: 1.1932, Acc: 0.4263] 	Val:[Loss: 1.1519, Acc: 0.4375]
Epoch: 512 	Train:[Loss: 1.1932, Acc: 0.4263] 	Val:[Loss: 1.1519, Acc: 0.4375]
Epoch: 544 	Train:[Loss: 1.1932, Acc: 0.4263] 	Val:[Loss: 1.1519, Acc: 0.4375]
Epoch: 576 	Train:[Loss: 1.1932, Acc: 0.4263] 	Val:[Loss: 1.1519, Acc: 0.4375]
Epoch: 608 	Train:[Loss: 1.1932, Acc: 0.4263] 	Val:[Loss: 1.1519, Acc: 0.4375]
Epoch: 640 	Train:[Loss: 1.1932, Acc: 0.4263] 	Val:[Loss: 1.1519, Acc: 0.4375]
Epoch: 672 	Train:[Loss: 1.1932, Acc: 0.4263] 	Val:[Loss: 1.1519, Acc: 0.4375]
Epoch: 704 	Train:[Loss: 1.1915, Acc: 0.4319] 	Val:[Loss: 1.1461, Acc: 0.4479]
Epoch: 736 	Train:[Loss: 1.1910, Acc: 0.4319] 	Val:[Loss: 1.1454, Acc: 0.4479]
Epoch: 768 	Train:[Loss: 1.1906, Acc: 0.4319] 	Val:[Loss: 1.1450, Acc: 0.4479]
Epoch: 800 	Train:[Loss: 1.1904, Acc: 0.4319] 	Val:[Loss: 1.1447, Acc: 0.4479]
Epoch: 832 	Train:[Loss: 1.1902, Acc: 0.4319] 	Val:[Loss: 1.1445, Acc: 0.4479]
Epoch: 864 	Train:[Loss: 1.1901, Acc: 0.4319] 	Val:[Loss: 1.1444, Acc: 0.4479]
Epoch: 896 	Train:[Loss: 1.1900, Acc: 0.4319] 	Val:[Loss: 1.1442, Acc: 0.4479]
Epoch: 928 	Train:[Loss: 1.1899, Acc: 0.4319] 	Val:[Loss: 1.1441, Acc: 0.4479]
Epoch: 960 	Train:[Loss: 1.1899, Acc: 0.4319] 	Val:[Loss: 1.1440, Acc: 0.4479]
Epoch: 992 	Train:[Loss: 1.1898, Acc: 0.4319] 	Val:[Loss: 1.1440, Acc: 0.4479]
Epoch: 1024 	Train:[Loss: 1.1898, Acc: 0.4319] 	Val:[Loss: 1.1439, Acc: 0.4479]
Epoch: 1056 	Train:[Loss: 1.1898, Acc: 0.4319] 	Val:[Loss: 1.1438, Acc: 0.4479]
Epoch: 1088 	Train:[Loss: 1.1897, Acc: 0.4319] 	Val:[Loss: 1.1437, Acc: 0.4479]
Epoch: 1120 	Train:[Loss: 1.1897, Acc: 0.4319] 	Val:[Loss: 1.1436, Acc: 0.4479]
