Data split into training (915 samples), validation (114 samples), and testing (114 samples) sets.
Number of classes: 6
Feature data normalized using z-score normalization.
Layer: [in:11] [out:8] [activation:Tanh]
Layer: [in:8] [out:16] [activation:Tanh]
Layer: [in:16] [out:16] [activation:Tanh]
Layer: [in:16] [out:8] [activation:Tanh]
Layer: [in:8] [out:6] [activation:Softmax]
Training: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 5000/5000 [00:22<00:00, 224.90epoch/s, Train Acc=0.613, Val Acc=0.594]

Epoch: 0 	Train:[Loss: 6.2794, Acc: 0.0371] 	Val:[Loss: 3.8837, Acc: 0.0625]
Epoch: 256 	Train:[Loss: 1.1655, Acc: 0.4922] 	Val:[Loss: 1.1080, Acc: 0.5000]
Epoch: 512 	Train:[Loss: 1.1424, Acc: 0.5215] 	Val:[Loss: 1.0932, Acc: 0.5521]
Epoch: 768 	Train:[Loss: 1.1333, Acc: 0.5410] 	Val:[Loss: 1.0935, Acc: 0.5625]
Epoch: 1024 	Train:[Loss: 1.1227, Acc: 0.5273] 	Val:[Loss: 1.0906, Acc: 0.5833]
Epoch: 1280 	Train:[Loss: 1.1041, Acc: 0.5430] 	Val:[Loss: 1.0843, Acc: 0.6042]
Epoch: 1536 	Train:[Loss: 1.0909, Acc: 0.5527] 	Val:[Loss: 1.0707, Acc: 0.6042]
Epoch: 1792 	Train:[Loss: 1.0877, Acc: 0.5430] 	Val:[Loss: 1.0666, Acc: 0.5729]
Epoch: 2048 	Train:[Loss: 1.0801, Acc: 0.5410] 	Val:[Loss: 1.0603, Acc: 0.5833]
Epoch: 2304 	Train:[Loss: 1.0714, Acc: 0.5449] 	Val:[Loss: 1.0556, Acc: 0.5729]
Epoch: 2560 	Train:[Loss: 1.0617, Acc: 0.5371] 	Val:[Loss: 1.0500, Acc: 0.5729]
Epoch: 2816 	Train:[Loss: 1.0499, Acc: 0.5449] 	Val:[Loss: 1.0433, Acc: 0.5625]
Epoch: 3072 	Train:[Loss: 1.0378, Acc: 0.5430] 	Val:[Loss: 1.0362, Acc: 0.5729]
Epoch: 3328 	Train:[Loss: 1.0223, Acc: 0.5527] 	Val:[Loss: 1.0182, Acc: 0.6042]
Epoch: 3584 	Train:[Loss: 1.0037, Acc: 0.5605] 	Val:[Loss: 1.0011, Acc: 0.5938]
Epoch: 3840 	Train:[Loss: 0.9891, Acc: 0.5801] 	Val:[Loss: 0.9892, Acc: 0.6146]
Epoch: 4096 	Train:[Loss: 0.9874, Acc: 0.5859] 	Val:[Loss: 0.9927, Acc: 0.6146]
Epoch: 4352 	Train:[Loss: 0.9667, Acc: 0.5820] 	Val:[Loss: 1.0286, Acc: 0.6042]
Epoch: 4608 	Train:[Loss: 0.9798, Acc: 0.5820] 	Val:[Loss: 0.9781, Acc: 0.6146]
Epoch: 4864 	Train:[Loss: 0.9660, Acc: 0.5879] 	Val:[Loss: 0.9751, Acc: 0.6250]
