Data split into training (915 samples), validation (114 samples), and testing (114 samples) sets.
Number of classes: 6
Feature data normalized using z-score normalization.
Layer: [in:11] [out:16] [activation:Tanh]
Layer: [in:16] [out:32] [activation:Tanh]
Layer: [in:32] [out:32] [activation:Tanh]
Layer: [in:32] [out:16] [activation:Tanh]
Layer: [in:16] [out:6] [activation:Softmax]
Training: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3000/3000 [00:34<00:00, 85.88epoch/s, Train Acc=0.759, Val Acc=0.562]

Epoch: 0 	Train:[Loss: 3.0545, Acc: 0.2201] 	Val:[Loss: 2.0282, Acc: 0.3958]
Epoch: 128 	Train:[Loss: 1.0481, Acc: 0.5156] 	Val:[Loss: 1.0764, Acc: 0.5833]
Epoch: 256 	Train:[Loss: 1.0018, Acc: 0.5547] 	Val:[Loss: 1.0501, Acc: 0.5729]
Epoch: 384 	Train:[Loss: 0.9754, Acc: 0.5729] 	Val:[Loss: 1.0352, Acc: 0.5938]
Epoch: 512 	Train:[Loss: 0.9229, Acc: 0.5573] 	Val:[Loss: 1.0462, Acc: 0.5521]
Epoch: 640 	Train:[Loss: 0.8765, Acc: 0.6107] 	Val:[Loss: 1.0026, Acc: 0.5729]
Epoch: 768 	Train:[Loss: 0.8668, Acc: 0.5938] 	Val:[Loss: 1.1005, Acc: 0.5312]
Epoch: 896 	Train:[Loss: 0.8814, Acc: 0.5898] 	Val:[Loss: 1.1636, Acc: 0.5312]
Epoch: 1024 	Train:[Loss: 0.8923, Acc: 0.5977] 	Val:[Loss: 1.1721, Acc: 0.5625]
Epoch: 1152 	Train:[Loss: 0.9013, Acc: 0.5898] 	Val:[Loss: 1.0468, Acc: 0.5625]
Epoch: 1280 	Train:[Loss: 0.7875, Acc: 0.6341] 	Val:[Loss: 1.1324, Acc: 0.5729]
Epoch: 1408 	Train:[Loss: 0.7343, Acc: 0.6641] 	Val:[Loss: 1.1887, Acc: 0.5938]
Epoch: 1536 	Train:[Loss: 0.7864, Acc: 0.6510] 	Val:[Loss: 1.1025, Acc: 0.5938]
Epoch: 1664 	Train:[Loss: 0.7523, Acc: 0.6523] 	Val:[Loss: 1.1124, Acc: 0.5833]
Epoch: 1792 	Train:[Loss: 0.6694, Acc: 0.7083] 	Val:[Loss: 1.1220, Acc: 0.6146]
Epoch: 1920 	Train:[Loss: 0.6732, Acc: 0.7005] 	Val:[Loss: 1.1171, Acc: 0.5625]
Epoch: 2048 	Train:[Loss: 0.6750, Acc: 0.7057] 	Val:[Loss: 1.3104, Acc: 0.5729]
Epoch: 2176 	Train:[Loss: 0.6905, Acc: 0.6979] 	Val:[Loss: 1.3081, Acc: 0.5729]
Epoch: 2304 	Train:[Loss: 0.7925, Acc: 0.6641] 	Val:[Loss: 1.2712, Acc: 0.6042]
Epoch: 2432 	Train:[Loss: 0.6687, Acc: 0.6992] 	Val:[Loss: 1.4527, Acc: 0.5625]
Epoch: 2560 	Train:[Loss: 0.5641, Acc: 0.7708] 	Val:[Loss: 1.2396, Acc: 0.5521]
Epoch: 2688 	Train:[Loss: 0.7557, Acc: 0.6602] 	Val:[Loss: 1.2765, Acc: 0.5729]
Epoch: 2816 	Train:[Loss: 0.8423, Acc: 0.6354] 	Val:[Loss: 1.4328, Acc: 0.5312]
Epoch: 2944 	Train:[Loss: 0.5206, Acc: 0.7865] 	Val:[Loss: 1.2299, Acc: 0.5417]
