Data split into training (915 samples), validation (114 samples), and testing (114 samples) sets.
Number of classes: 6
Feature data normalized using z-score normalization.
Layer: [in:11] [out:16] [activation:Tanh]
Layer: [in:16] [out:64] [activation:Tanh]
Layer: [in:64] [out:128] [activation:Tanh]
Layer: [in:128] [out:256] [activation:Tanh]
Layer: [in:256] [out:6] [activation:Softmax]
Training: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 5000/5000 [14:38<00:00,  5.69epoch/s, Train Acc=0.852, Val Acc=0.542]

Epoch: 0 	Train:[Loss: 15.4347, Acc: 0.1035] 	Val:[Loss: 11.9713, Acc: 0.1771]
Epoch: 256 	Train:[Loss: 1.0041, Acc: 0.5977] 	Val:[Loss: 1.3516, Acc: 0.6042]
Epoch: 512 	Train:[Loss: 0.9793, Acc: 0.5703] 	Val:[Loss: 1.5211, Acc: 0.5312]
Epoch: 768 	Train:[Loss: 0.7054, Acc: 0.7129] 	Val:[Loss: 1.1828, Acc: 0.6146]
Epoch: 1024 	Train:[Loss: 0.6452, Acc: 0.7559] 	Val:[Loss: 1.2975, Acc: 0.6146]
Epoch: 1280 	Train:[Loss: 0.6819, Acc: 0.6973] 	Val:[Loss: 1.4271, Acc: 0.5729]
Epoch: 1536 	Train:[Loss: 0.6638, Acc: 0.7324] 	Val:[Loss: 1.4917, Acc: 0.5938]
Epoch: 1792 	Train:[Loss: 0.5584, Acc: 0.7559] 	Val:[Loss: 1.4489, Acc: 0.6250]
Epoch: 2048 	Train:[Loss: 0.5921, Acc: 0.7363] 	Val:[Loss: 1.5662, Acc: 0.6042]
Epoch: 2304 	Train:[Loss: 0.5744, Acc: 0.7520] 	Val:[Loss: 1.5391, Acc: 0.6146]
Epoch: 2560 	Train:[Loss: 0.5940, Acc: 0.7422] 	Val:[Loss: 1.5851, Acc: 0.5729]
Epoch: 2816 	Train:[Loss: 0.4232, Acc: 0.8203] 	Val:[Loss: 1.5459, Acc: 0.5938]
Epoch: 3072 	Train:[Loss: 0.9019, Acc: 0.6484] 	Val:[Loss: 1.9248, Acc: 0.4896]
Epoch: 3328 	Train:[Loss: 0.3689, Acc: 0.8770] 	Val:[Loss: 1.8195, Acc: 0.5625]
Epoch: 3584 	Train:[Loss: 0.4985, Acc: 0.7871] 	Val:[Loss: 1.8932, Acc: 0.5938]
Epoch: 3840 	Train:[Loss: 0.3759, Acc: 0.8516] 	Val:[Loss: 1.8333, Acc: 0.6042]
Epoch: 4096 	Train:[Loss: 0.3344, Acc: 0.8730] 	Val:[Loss: 1.8626, Acc: 0.5521]
Epoch: 4352 	Train:[Loss: 0.2926, Acc: 0.9160] 	Val:[Loss: 1.9354, Acc: 0.6042]
Epoch: 4608 	Train:[Loss: 0.5588, Acc: 0.7793] 	Val:[Loss: 1.9481, Acc: 0.5938]
Epoch: 4864 	Train:[Loss: 0.2682, Acc: 0.9102] 	Val:[Loss: 1.8980, Acc: 0.5625]
