Data split into training (915 samples), validation (114 samples), and testing (114 samples) sets.
Number of classes: 6
Feature data normalized using z-score normalization.
Layer: [in:11] [out:32] [activation:Tanh]
Layer: [in:32] [out:128] [activation:Tanh]
Layer: [in:128] [out:128] [activation:Tanh]
Layer: [in:128] [out:32] [activation:Tanh]
Layer: [in:32] [out:6] [activation:Softmax]
                                                                                                                                                                                                            

Epoch: 0 	Train:[Loss: 3.1707, Acc: 0.3527] 	Val:[Loss: 2.0005, Acc: 0.3854]
Epoch: 32 	Train:[Loss: 1.1277, Acc: 0.4799] 	Val:[Loss: 1.2148, Acc: 0.5208]
Epoch: 64 	Train:[Loss: 1.0472, Acc: 0.5391] 	Val:[Loss: 1.1340, Acc: 0.5625]
Epoch: 96 	Train:[Loss: 0.9422, Acc: 0.6016] 	Val:[Loss: 1.2712, Acc: 0.4896]
Epoch: 128 	Train:[Loss: 0.9284, Acc: 0.5926] 	Val:[Loss: 1.3083, Acc: 0.5104]
Epoch: 160 	Train:[Loss: 0.9081, Acc: 0.6127] 	Val:[Loss: 1.3480, Acc: 0.5000]
Epoch: 192 	Train:[Loss: 0.8774, Acc: 0.6228] 	Val:[Loss: 1.3153, Acc: 0.5000]
Epoch: 224 	Train:[Loss: 0.8495, Acc: 0.6317] 	Val:[Loss: 1.2817, Acc: 0.5000]
Epoch: 256 	Train:[Loss: 0.8668, Acc: 0.6261] 	Val:[Loss: 1.2704, Acc: 0.4896]
Epoch: 288 	Train:[Loss: 0.7908, Acc: 0.6562] 	Val:[Loss: 1.1987, Acc: 0.5521]
Epoch: 320 	Train:[Loss: 0.7805, Acc: 0.6674] 	Val:[Loss: 1.2713, Acc: 0.5312]
Epoch: 352 	Train:[Loss: 0.7684, Acc: 0.6853] 	Val:[Loss: 1.2068, Acc: 0.5521]
Epoch: 384 	Train:[Loss: 0.8517, Acc: 0.6417] 	Val:[Loss: 1.0981, Acc: 0.5833]
Epoch: 416 	Train:[Loss: 0.7676, Acc: 0.6908] 	Val:[Loss: 1.2369, Acc: 0.6146]
Epoch: 448 	Train:[Loss: 0.8126, Acc: 0.6696] 	Val:[Loss: 1.2045, Acc: 0.5938]
Epoch: 480 	Train:[Loss: 0.7626, Acc: 0.6741] 	Val:[Loss: 1.1378, Acc: 0.6250]
Epoch: 512 	Train:[Loss: 0.9621, Acc: 0.6183] 	Val:[Loss: 1.2318, Acc: 0.6354]
Epoch: 544 	Train:[Loss: 0.6627, Acc: 0.7344] 	Val:[Loss: 1.4345, Acc: 0.5938]
Epoch: 576 	Train:[Loss: 0.6408, Acc: 0.7489] 	Val:[Loss: 1.2580, Acc: 0.5521]
Epoch: 608 	Train:[Loss: 0.6600, Acc: 0.7344] 	Val:[Loss: 1.1577, Acc: 0.6458]
Epoch: 640 	Train:[Loss: 0.5930, Acc: 0.7690] 	Val:[Loss: 1.3503, Acc: 0.6250]
Epoch: 672 	Train:[Loss: 0.6233, Acc: 0.7578] 	Val:[Loss: 1.2536, Acc: 0.5938]
Epoch: 704 	Train:[Loss: 0.6180, Acc: 0.7567] 	Val:[Loss: 1.1793, Acc: 0.5938]
Epoch: 736 	Train:[Loss: 0.5550, Acc: 0.7868] 	Val:[Loss: 1.2892, Acc: 0.5625]
Epoch: 768 	Train:[Loss: 0.7295, Acc: 0.7054] 	Val:[Loss: 1.3523, Acc: 0.6250]
Epoch: 800 	Train:[Loss: 0.5197, Acc: 0.8080] 	Val:[Loss: 1.5153, Acc: 0.6146]
Epoch: 832 	Train:[Loss: 0.8614, Acc: 0.6596] 	Val:[Loss: 1.4419, Acc: 0.5938]
Epoch: 864 	Train:[Loss: 0.5256, Acc: 0.7891] 	Val:[Loss: 1.4927, Acc: 0.5729]
Epoch: 896 	Train:[Loss: 0.5476, Acc: 0.7801] 	Val:[Loss: 1.4690, Acc: 0.5625]
Epoch: 928 	Train:[Loss: 0.5669, Acc: 0.7723] 	Val:[Loss: 1.5347, Acc: 0.6562]
Epoch: 960 	Train:[Loss: 0.5626, Acc: 0.7757] 	Val:[Loss: 1.4430, Acc: 0.5729]
Epoch: 992 	Train:[Loss: 0.6161, Acc: 0.7489] 	Val:[Loss: 1.6572, Acc: 0.6042]
Epoch: 1024 	Train:[Loss: 0.4682, Acc: 0.8170] 	Val:[Loss: 1.7476, Acc: 0.5833]
Epoch: 1056 	Train:[Loss: 0.6767, Acc: 0.7377] 	Val:[Loss: 1.6380, Acc: 0.5625]
Epoch: 1088 	Train:[Loss: 0.5203, Acc: 0.7935] 	Val:[Loss: 1.5056, Acc: 0.5938]
Epoch: 1120 	Train:[Loss: 0.4581, Acc: 0.8315] 	Val:[Loss: 1.6601, Acc: 0.6250]
Epoch: 1152 	Train:[Loss: 0.5477, Acc: 0.7857] 	Val:[Loss: 1.6043, Acc: 0.6250]
Epoch: 1184 	Train:[Loss: 0.4567, Acc: 0.8337] 	Val:[Loss: 1.8217, Acc: 0.6354]
