Data split into training (915 samples), validation (114 samples), and testing (114 samples) sets.
Number of classes: 6
Feature data normalized using z-score normalization.
Layer: [in:11] [out:16] [activation:Tanh]
Layer: [in:16] [out:32] [activation:Tanh]
Layer: [in:32] [out:32] [activation:Tanh]
Layer: [in:32] [out:16] [activation:Tanh]
Layer: [in:16] [out:6] [activation:Softmax]
                                                                                                                                                                                                            

Epoch: 0 	Train:[Loss: 2.9768, Acc: 0.2377] 	Val:[Loss: 1.6116, Acc: 0.3854]
Epoch: 64 	Train:[Loss: 1.0752, Acc: 0.5391] 	Val:[Loss: 1.0061, Acc: 0.5729]
Epoch: 128 	Train:[Loss: 1.0315, Acc: 0.5458] 	Val:[Loss: 1.0802, Acc: 0.5625]
Epoch: 192 	Train:[Loss: 1.0054, Acc: 0.5580] 	Val:[Loss: 1.1172, Acc: 0.5417]
Epoch: 256 	Train:[Loss: 0.9683, Acc: 0.5837] 	Val:[Loss: 1.1131, Acc: 0.5729]
Epoch: 320 	Train:[Loss: 0.9419, Acc: 0.6038] 	Val:[Loss: 1.0587, Acc: 0.5625]
Epoch: 384 	Train:[Loss: 0.9547, Acc: 0.6016] 	Val:[Loss: 1.0880, Acc: 0.5938]
Epoch: 448 	Train:[Loss: 0.9080, Acc: 0.6384] 	Val:[Loss: 0.9893, Acc: 0.6354]
Epoch: 512 	Train:[Loss: 0.8839, Acc: 0.6417] 	Val:[Loss: 1.1164, Acc: 0.5938]
Epoch: 576 	Train:[Loss: 0.8574, Acc: 0.6618] 	Val:[Loss: 1.1482, Acc: 0.5833]
Epoch: 640 	Train:[Loss: 0.9000, Acc: 0.6529] 	Val:[Loss: 0.9973, Acc: 0.5938]
Epoch: 704 	Train:[Loss: 0.8208, Acc: 0.6708] 	Val:[Loss: 1.2544, Acc: 0.5521]
Epoch: 768 	Train:[Loss: 0.8047, Acc: 0.6819] 	Val:[Loss: 1.2079, Acc: 0.5729]
Epoch: 832 	Train:[Loss: 0.7983, Acc: 0.6953] 	Val:[Loss: 0.9940, Acc: 0.6042]
Epoch: 896 	Train:[Loss: 0.8068, Acc: 0.6730] 	Val:[Loss: 1.1468, Acc: 0.6146]
Epoch: 960 	Train:[Loss: 0.7536, Acc: 0.7143] 	Val:[Loss: 1.0527, Acc: 0.6042]
Epoch: 1024 	Train:[Loss: 0.7983, Acc: 0.6853] 	Val:[Loss: 0.9994, Acc: 0.6042]
Epoch: 1088 	Train:[Loss: 0.7779, Acc: 0.6763] 	Val:[Loss: 1.1400, Acc: 0.6146]
Epoch: 1152 	Train:[Loss: 0.7108, Acc: 0.7310] 	Val:[Loss: 1.0039, Acc: 0.6458]
Epoch: 1216 	Train:[Loss: 0.7048, Acc: 0.7366] 	Val:[Loss: 0.9902, Acc: 0.6458]
Epoch: 1280 	Train:[Loss: 0.7542, Acc: 0.6920] 	Val:[Loss: 1.1388, Acc: 0.5938]
Epoch: 1344 	Train:[Loss: 0.7140, Acc: 0.7266] 	Val:[Loss: 1.0193, Acc: 0.6667]
Epoch: 1408 	Train:[Loss: 0.6607, Acc: 0.7511] 	Val:[Loss: 1.1207, Acc: 0.6354]
Epoch: 1472 	Train:[Loss: 0.6700, Acc: 0.7377] 	Val:[Loss: 1.1919, Acc: 0.6458]
Epoch: 1536 	Train:[Loss: 0.6502, Acc: 0.7411] 	Val:[Loss: 1.1965, Acc: 0.6042]
Epoch: 1600 	Train:[Loss: 0.6834, Acc: 0.7288] 	Val:[Loss: 1.1991, Acc: 0.5729]
Epoch: 1664 	Train:[Loss: 0.7363, Acc: 0.6998] 	Val:[Loss: 1.4024, Acc: 0.5104]
Epoch: 1728 	Train:[Loss: 0.6240, Acc: 0.7545] 	Val:[Loss: 1.3380, Acc: 0.5521]
Epoch: 1792 	Train:[Loss: 0.6453, Acc: 0.7489] 	Val:[Loss: 1.2677, Acc: 0.5938]
Epoch: 1856 	Train:[Loss: 0.6229, Acc: 0.7511] 	Val:[Loss: 1.3089, Acc: 0.5833]
