Data split into training (915 samples), validation (114 samples), and testing (114 samples) sets.
Number of classes: 6
Feature data normalized using z-score normalization.
Layer: [in:11] [out:16] [activation:Tanh]
Layer: [in:16] [out:64] [activation:Tanh]
Layer: [in:64] [out:128] [activation:Tanh]
Layer: [in:128] [out:256] [activation:Tanh]
Layer: [in:256] [out:6] [activation:Softmax]
                                                                                                                                                                                                            

Epoch: 0 	Train:[Loss: 7.2139, Acc: 0.3237] 	Val:[Loss: 4.0283, Acc: 0.3229]
Epoch: 32 	Train:[Loss: 2.2851, Acc: 0.3951] 	Val:[Loss: 1.7790, Acc: 0.4375]
Epoch: 64 	Train:[Loss: 2.0378, Acc: 0.4152] 	Val:[Loss: 1.7932, Acc: 0.4167]
Epoch: 96 	Train:[Loss: 2.2060, Acc: 0.4096] 	Val:[Loss: 2.1144, Acc: 0.4479]
Epoch: 128 	Train:[Loss: 2.2050, Acc: 0.4219] 	Val:[Loss: 2.7793, Acc: 0.3750]
Epoch: 160 	Train:[Loss: 2.5767, Acc: 0.3962] 	Val:[Loss: 2.0421, Acc: 0.4479]
Epoch: 192 	Train:[Loss: 2.3033, Acc: 0.4152] 	Val:[Loss: 2.1573, Acc: 0.4167]
Epoch: 224 	Train:[Loss: 1.8107, Acc: 0.4342] 	Val:[Loss: 1.3646, Acc: 0.4792]
Epoch: 256 	Train:[Loss: 2.0315, Acc: 0.4230] 	Val:[Loss: 2.1566, Acc: 0.3958]
Epoch: 288 	Train:[Loss: 2.0106, Acc: 0.4252] 	Val:[Loss: 2.3014, Acc: 0.3958]
Epoch: 320 	Train:[Loss: 1.8364, Acc: 0.4353] 	Val:[Loss: 1.7895, Acc: 0.3958]
Epoch: 352 	Train:[Loss: 1.7877, Acc: 0.4319] 	Val:[Loss: 1.6081, Acc: 0.4062]
Epoch: 384 	Train:[Loss: 1.9734, Acc: 0.4241] 	Val:[Loss: 1.8632, Acc: 0.4167]
Epoch: 416 	Train:[Loss: 1.7760, Acc: 0.4230] 	Val:[Loss: 1.7290, Acc: 0.3854]
Epoch: 448 	Train:[Loss: 1.7778, Acc: 0.4219] 	Val:[Loss: 1.5519, Acc: 0.3958]
Epoch: 480 	Train:[Loss: 1.6207, Acc: 0.4397] 	Val:[Loss: 1.3634, Acc: 0.3958]
Epoch: 512 	Train:[Loss: 1.4326, Acc: 0.4431] 	Val:[Loss: 1.5496, Acc: 0.4375]
Epoch: 544 	Train:[Loss: 1.3862, Acc: 0.4643] 	Val:[Loss: 1.5612, Acc: 0.4688]
Epoch: 576 	Train:[Loss: 1.4120, Acc: 0.4475] 	Val:[Loss: 1.5951, Acc: 0.4479]
Epoch: 608 	Train:[Loss: 1.4919, Acc: 0.4565] 	Val:[Loss: 1.5847, Acc: 0.4479]
Epoch: 640 	Train:[Loss: 1.6921, Acc: 0.4475] 	Val:[Loss: 1.7454, Acc: 0.4688]
Epoch: 672 	Train:[Loss: 1.5001, Acc: 0.4531] 	Val:[Loss: 1.5025, Acc: 0.4583]
Epoch: 704 	Train:[Loss: 1.3929, Acc: 0.4676] 	Val:[Loss: 1.4937, Acc: 0.5000]
Epoch: 736 	Train:[Loss: 1.4639, Acc: 0.4554] 	Val:[Loss: 1.5236, Acc: 0.4688]
Epoch: 768 	Train:[Loss: 1.3688, Acc: 0.4754] 	Val:[Loss: 1.4451, Acc: 0.4896]
Epoch: 800 	Train:[Loss: 1.3705, Acc: 0.4799] 	Val:[Loss: 1.5453, Acc: 0.4792]
Epoch: 832 	Train:[Loss: 1.1634, Acc: 0.5190] 	Val:[Loss: 1.5480, Acc: 0.5000]
Epoch: 864 	Train:[Loss: 1.3727, Acc: 0.5201] 	Val:[Loss: 1.3238, Acc: 0.6042]
Epoch: 896 	Train:[Loss: 1.3815, Acc: 0.4911] 	Val:[Loss: 1.4545, Acc: 0.4896]
Epoch: 928 	Train:[Loss: 1.3075, Acc: 0.5290] 	Val:[Loss: 1.4394, Acc: 0.5833]
Epoch: 960 	Train:[Loss: 1.5930, Acc: 0.4587] 	Val:[Loss: 1.2802, Acc: 0.4167]
Epoch: 992 	Train:[Loss: 1.4485, Acc: 0.4788] 	Val:[Loss: 1.5450, Acc: 0.4167]
Epoch: 1024 	Train:[Loss: 1.3725, Acc: 0.5112] 	Val:[Loss: 1.3973, Acc: 0.5104]
Epoch: 1056 	Train:[Loss: 1.2401, Acc: 0.5368] 	Val:[Loss: 1.5010, Acc: 0.5312]
Epoch: 1088 	Train:[Loss: 1.3431, Acc: 0.5156] 	Val:[Loss: 1.5489, Acc: 0.5521]
Epoch: 1120 	Train:[Loss: 1.3434, Acc: 0.5301] 	Val:[Loss: 1.4527, Acc: 0.4896]
Epoch: 1152 	Train:[Loss: 1.2693, Acc: 0.5368] 	Val:[Loss: 1.2104, Acc: 0.5938]
Epoch: 1184 	Train:[Loss: 1.2109, Acc: 0.5547] 	Val:[Loss: 1.2104, Acc: 0.6042]
Epoch: 1216 	Train:[Loss: 1.2023, Acc: 0.5614] 	Val:[Loss: 1.5482, Acc: 0.5104]
Epoch: 1248 	Train:[Loss: 1.0777, Acc: 0.5748] 	Val:[Loss: 1.3744, Acc: 0.5625]
Epoch: 1280 	Train:[Loss: 1.1963, Acc: 0.5748] 	Val:[Loss: 1.2018, Acc: 0.6042]
Epoch: 1312 	Train:[Loss: 1.1773, Acc: 0.5714] 	Val:[Loss: 1.2701, Acc: 0.5000]
Epoch: 1344 	Train:[Loss: 1.1028, Acc: 0.5882] 	Val:[Loss: 1.2118, Acc: 0.5521]
Epoch: 1376 	Train:[Loss: 1.1715, Acc: 0.5748] 	Val:[Loss: 1.2519, Acc: 0.5417]
Epoch: 1408 	Train:[Loss: 1.1113, Acc: 0.5781] 	Val:[Loss: 1.1745, Acc: 0.6250]
Epoch: 1440 	Train:[Loss: 1.0370, Acc: 0.6004] 	Val:[Loss: 1.2167, Acc: 0.5417]
Epoch: 1472 	Train:[Loss: 1.0379, Acc: 0.6094] 	Val:[Loss: 1.2279, Acc: 0.6042]
Epoch: 1504 	Train:[Loss: 1.2117, Acc: 0.5681] 	Val:[Loss: 1.6149, Acc: 0.4167]
Epoch: 1536 	Train:[Loss: 1.0470, Acc: 0.6083] 	Val:[Loss: 1.4265, Acc: 0.4479]
Epoch: 1568 	Train:[Loss: 1.0736, Acc: 0.6183] 	Val:[Loss: 1.3434, Acc: 0.5625]
Epoch: 1600 	Train:[Loss: 1.3903, Acc: 0.5368] 	Val:[Loss: 1.2423, Acc: 0.6875]
Epoch: 1632 	Train:[Loss: 0.9058, Acc: 0.6339] 	Val:[Loss: 1.4212, Acc: 0.5104]
Epoch: 1664 	Train:[Loss: 1.0868, Acc: 0.6004] 	Val:[Loss: 1.4976, Acc: 0.5208]
Epoch: 1696 	Train:[Loss: 1.0819, Acc: 0.6049] 	Val:[Loss: 1.3908, Acc: 0.5521]
Epoch: 1728 	Train:[Loss: 0.8715, Acc: 0.6708] 	Val:[Loss: 1.7174, Acc: 0.4167]
Epoch: 1760 	Train:[Loss: 1.2824, Acc: 0.5592] 	Val:[Loss: 1.3081, Acc: 0.6146]
Epoch: 1792 	Train:[Loss: 1.0540, Acc: 0.6306] 	Val:[Loss: 1.4539, Acc: 0.4792]
Epoch: 1824 	Train:[Loss: 1.0011, Acc: 0.6451] 	Val:[Loss: 1.5945, Acc: 0.5312]
Epoch: 1856 	Train:[Loss: 0.9185, Acc: 0.6518] 	Val:[Loss: 1.2954, Acc: 0.6875]
Epoch: 1888 	Train:[Loss: 0.7529, Acc: 0.7132] 	Val:[Loss: 1.3422, Acc: 0.6667]
Epoch: 1920 	Train:[Loss: 0.9129, Acc: 0.6607] 	Val:[Loss: 1.4054, Acc: 0.5417]
Epoch: 1952 	Train:[Loss: 0.7914, Acc: 0.7098] 	Val:[Loss: 1.2336, Acc: 0.6667]
Epoch: 1984 	Train:[Loss: 0.7249, Acc: 0.7109] 	Val:[Loss: 1.3595, Acc: 0.6562]
Epoch: 2016 	Train:[Loss: 0.6802, Acc: 0.7444] 	Val:[Loss: 1.4101, Acc: 0.5104]
Epoch: 2048 	Train:[Loss: 0.8381, Acc: 0.6920] 	Val:[Loss: 1.2769, Acc: 0.5833]
Epoch: 2080 	Train:[Loss: 0.7159, Acc: 0.7411] 	Val:[Loss: 1.2597, Acc: 0.6875]
Epoch: 2112 	Train:[Loss: 0.9113, Acc: 0.6596] 	Val:[Loss: 1.2012, Acc: 0.6562]
Epoch: 2144 	Train:[Loss: 1.0102, Acc: 0.6484] 	Val:[Loss: 1.2762, Acc: 0.6562]
Epoch: 2176 	Train:[Loss: 0.7438, Acc: 0.7199] 	Val:[Loss: 1.3436, Acc: 0.6979]
Epoch: 2208 	Train:[Loss: 0.7420, Acc: 0.7243] 	Val:[Loss: 1.2600, Acc: 0.6667]
Epoch: 2240 	Train:[Loss: 0.6557, Acc: 0.7656] 	Val:[Loss: 1.5182, Acc: 0.5521]
Epoch: 2272 	Train:[Loss: 0.7793, Acc: 0.7121] 	Val:[Loss: 1.4058, Acc: 0.6562]
Epoch: 2304 	Train:[Loss: 0.5995, Acc: 0.7879] 	Val:[Loss: 1.6028, Acc: 0.4792]
Epoch: 2336 	Train:[Loss: 0.6944, Acc: 0.7176] 	Val:[Loss: 1.3616, Acc: 0.6979]
Epoch: 2368 	Train:[Loss: 0.7635, Acc: 0.7042] 	Val:[Loss: 1.5528, Acc: 0.6250]
Epoch: 2400 	Train:[Loss: 0.5473, Acc: 0.7712] 	Val:[Loss: 1.4982, Acc: 0.6354]
Epoch: 2432 	Train:[Loss: 0.6219, Acc: 0.7656] 	Val:[Loss: 1.6353, Acc: 0.6458]
Epoch: 2464 	Train:[Loss: 0.6104, Acc: 0.7712] 	Val:[Loss: 1.5557, Acc: 0.6250]
Epoch: 2496 	Train:[Loss: 0.6876, Acc: 0.7377] 	Val:[Loss: 1.6074, Acc: 0.6562]
Epoch: 2528 	Train:[Loss: 0.5061, Acc: 0.7902] 	Val:[Loss: 1.7656, Acc: 0.6042]
Epoch: 2560 	Train:[Loss: 0.6115, Acc: 0.7600] 	Val:[Loss: 1.7672, Acc: 0.5312]
Epoch: 2592 	Train:[Loss: 0.6110, Acc: 0.7634] 	Val:[Loss: 1.7133, Acc: 0.6042]
Epoch: 2624 	Train:[Loss: 0.6742, Acc: 0.7288] 	Val:[Loss: 1.4398, Acc: 0.6250]
Epoch: 2656 	Train:[Loss: 0.4723, Acc: 0.8080] 	Val:[Loss: 1.6609, Acc: 0.6250]
Epoch: 2688 	Train:[Loss: 0.6467, Acc: 0.7444] 	Val:[Loss: 1.5216, Acc: 0.6042]
Epoch: 2720 	Train:[Loss: 0.7181, Acc: 0.7199] 	Val:[Loss: 1.7660, Acc: 0.6146]
Epoch: 2752 	Train:[Loss: 0.6808, Acc: 0.7444] 	Val:[Loss: 1.4057, Acc: 0.5938]
Epoch: 2784 	Train:[Loss: 0.7221, Acc: 0.7299] 	Val:[Loss: 1.5073, Acc: 0.5938]
Epoch: 2816 	Train:[Loss: 0.6320, Acc: 0.7511] 	Val:[Loss: 1.5152, Acc: 0.6250]
Epoch: 2848 	Train:[Loss: 0.8540, Acc: 0.6998] 	Val:[Loss: 1.3796, Acc: 0.6250]
Epoch: 2880 	Train:[Loss: 0.4423, Acc: 0.8147] 	Val:[Loss: 1.6249, Acc: 0.6146]
Epoch: 2912 	Train:[Loss: 0.5800, Acc: 0.7623] 	Val:[Loss: 1.6453, Acc: 0.6354]
Epoch: 2944 	Train:[Loss: 0.6871, Acc: 0.7511] 	Val:[Loss: 1.5703, Acc: 0.6146]
Epoch: 2976 	Train:[Loss: 0.4982, Acc: 0.8058] 	Val:[Loss: 1.6433, Acc: 0.6042]
Epoch: 3008 	Train:[Loss: 0.4430, Acc: 0.8058] 	Val:[Loss: 1.6338, Acc: 0.5833]
