Data split into training (915 samples), validation (114 samples), and testing (114 samples) sets.
Number of classes: 6
Feature data normalized using z-score normalization.
Layer: [in:11] [out:16] [activation:Tanh]
Layer: [in:16] [out:32] [activation:Tanh]
Layer: [in:32] [out:32] [activation:Tanh]
Layer: [in:32] [out:16] [activation:Tanh]
Layer: [in:16] [out:6] [activation:Softmax]
                                                                                                                                                                                                            

Epoch: 0 	Train:[Loss: 2.3449, Acc: 0.2980] 	Val:[Loss: 1.8616, Acc: 0.3750]
Epoch: 32 	Train:[Loss: 1.1185, Acc: 0.5000] 	Val:[Loss: 1.0871, Acc: 0.5417]
Epoch: 64 	Train:[Loss: 1.0742, Acc: 0.5312] 	Val:[Loss: 1.0827, Acc: 0.5625]
Epoch: 96 	Train:[Loss: 1.0487, Acc: 0.5536] 	Val:[Loss: 1.0675, Acc: 0.5729]
Epoch: 128 	Train:[Loss: 1.0235, Acc: 0.5737] 	Val:[Loss: 1.0446, Acc: 0.6042]
Epoch: 160 	Train:[Loss: 0.9982, Acc: 0.5926] 	Val:[Loss: 1.0047, Acc: 0.5938]
Epoch: 192 	Train:[Loss: 0.9761, Acc: 0.6038] 	Val:[Loss: 0.9757, Acc: 0.6042]
Epoch: 224 	Train:[Loss: 0.9623, Acc: 0.6083] 	Val:[Loss: 0.9671, Acc: 0.6042]
Epoch: 256 	Train:[Loss: 0.9521, Acc: 0.6150] 	Val:[Loss: 0.9608, Acc: 0.5938]
Epoch: 288 	Train:[Loss: 0.9499, Acc: 0.6228] 	Val:[Loss: 0.9420, Acc: 0.5625]
Epoch: 320 	Train:[Loss: 0.9274, Acc: 0.6339] 	Val:[Loss: 0.9238, Acc: 0.6042]
Epoch: 352 	Train:[Loss: 0.9126, Acc: 0.6395] 	Val:[Loss: 0.8981, Acc: 0.6250]
Epoch: 384 	Train:[Loss: 0.9009, Acc: 0.6462] 	Val:[Loss: 0.8805, Acc: 0.6562]
Epoch: 416 	Train:[Loss: 0.8918, Acc: 0.6417] 	Val:[Loss: 0.8771, Acc: 0.6667]
Epoch: 448 	Train:[Loss: 0.8840, Acc: 0.6507] 	Val:[Loss: 0.8732, Acc: 0.6458]
Epoch: 480 	Train:[Loss: 0.8729, Acc: 0.6451] 	Val:[Loss: 0.8715, Acc: 0.6875]
Epoch: 512 	Train:[Loss: 0.8677, Acc: 0.6440] 	Val:[Loss: 0.8711, Acc: 0.6875]
Epoch: 544 	Train:[Loss: 0.8562, Acc: 0.6529] 	Val:[Loss: 0.8767, Acc: 0.6875]
Epoch: 576 	Train:[Loss: 0.8569, Acc: 0.6596] 	Val:[Loss: 0.8780, Acc: 0.6667]
Epoch: 608 	Train:[Loss: 0.8450, Acc: 0.6507] 	Val:[Loss: 0.9388, Acc: 0.6562]
Epoch: 640 	Train:[Loss: 0.8324, Acc: 0.6574] 	Val:[Loss: 0.9074, Acc: 0.6771]
Epoch: 672 	Train:[Loss: 0.8242, Acc: 0.6663] 	Val:[Loss: 0.9029, Acc: 0.6875]
Epoch: 704 	Train:[Loss: 0.8189, Acc: 0.6696] 	Val:[Loss: 0.8924, Acc: 0.6562]
Epoch: 736 	Train:[Loss: 0.8142, Acc: 0.6775] 	Val:[Loss: 0.8917, Acc: 0.6771]
Epoch: 768 	Train:[Loss: 0.8107, Acc: 0.6808] 	Val:[Loss: 0.9006, Acc: 0.6562]
Epoch: 800 	Train:[Loss: 0.8061, Acc: 0.6864] 	Val:[Loss: 0.9082, Acc: 0.6562]
Epoch: 832 	Train:[Loss: 0.8018, Acc: 0.6886] 	Val:[Loss: 0.9137, Acc: 0.6562]
Epoch: 864 	Train:[Loss: 0.7967, Acc: 0.6920] 	Val:[Loss: 0.9166, Acc: 0.6562]
Epoch: 896 	Train:[Loss: 0.7917, Acc: 0.6920] 	Val:[Loss: 0.9194, Acc: 0.6667]
Epoch: 928 	Train:[Loss: 0.7859, Acc: 0.6953] 	Val:[Loss: 0.9204, Acc: 0.6562]
Epoch: 960 	Train:[Loss: 0.7797, Acc: 0.6975] 	Val:[Loss: 0.9206, Acc: 0.6771]
Epoch: 992 	Train:[Loss: 0.7734, Acc: 0.7054] 	Val:[Loss: 0.9216, Acc: 0.6875]
Epoch: 1024 	Train:[Loss: 0.7672, Acc: 0.7109] 	Val:[Loss: 0.9217, Acc: 0.6771]
Epoch: 1056 	Train:[Loss: 0.7614, Acc: 0.7132] 	Val:[Loss: 0.9215, Acc: 0.6771]
Epoch: 1088 	Train:[Loss: 0.7562, Acc: 0.7143] 	Val:[Loss: 0.9211, Acc: 0.6667]
Epoch: 1120 	Train:[Loss: 0.7566, Acc: 0.7076] 	Val:[Loss: 0.9227, Acc: 0.6354]
Epoch: 1152 	Train:[Loss: 0.7515, Acc: 0.7165] 	Val:[Loss: 0.9130, Acc: 0.6458]
Epoch: 1184 	Train:[Loss: 0.7438, Acc: 0.7199] 	Val:[Loss: 0.9154, Acc: 0.6667]
Epoch: 1216 	Train:[Loss: 0.7765, Acc: 0.6953] 	Val:[Loss: 0.9252, Acc: 0.6250]
Epoch: 1248 	Train:[Loss: 0.7425, Acc: 0.7221] 	Val:[Loss: 0.9147, Acc: 0.6667]
Epoch: 1280 	Train:[Loss: 0.7358, Acc: 0.7266] 	Val:[Loss: 0.9146, Acc: 0.6562]
Epoch: 1312 	Train:[Loss: 0.7640, Acc: 0.7009] 	Val:[Loss: 0.9228, Acc: 0.6562]
Epoch: 1344 	Train:[Loss: 0.7265, Acc: 0.7288] 	Val:[Loss: 0.9082, Acc: 0.6667]
Epoch: 1376 	Train:[Loss: 0.7256, Acc: 0.7221] 	Val:[Loss: 0.9193, Acc: 0.6771]
Epoch: 1408 	Train:[Loss: 0.7425, Acc: 0.7188] 	Val:[Loss: 0.9382, Acc: 0.6458]
Epoch: 1440 	Train:[Loss: 0.7154, Acc: 0.7277] 	Val:[Loss: 0.9259, Acc: 0.6875]
Epoch: 1472 	Train:[Loss: 0.7205, Acc: 0.7254] 	Val:[Loss: 0.9886, Acc: 0.6562]
Epoch: 1504 	Train:[Loss: 0.7354, Acc: 0.7254] 	Val:[Loss: 0.9313, Acc: 0.6562]
Epoch: 1536 	Train:[Loss: 0.7076, Acc: 0.7299] 	Val:[Loss: 0.9488, Acc: 0.6875]
Epoch: 1568 	Train:[Loss: 0.6973, Acc: 0.7388] 	Val:[Loss: 0.9820, Acc: 0.6875]
Epoch: 1600 	Train:[Loss: 0.7042, Acc: 0.7333] 	Val:[Loss: 1.0154, Acc: 0.6458]
Epoch: 1632 	Train:[Loss: 0.6947, Acc: 0.7377] 	Val:[Loss: 0.9679, Acc: 0.6667]
Epoch: 1664 	Train:[Loss: 0.6931, Acc: 0.7377] 	Val:[Loss: 0.9770, Acc: 0.6562]
Epoch: 1696 	Train:[Loss: 0.6887, Acc: 0.7467] 	Val:[Loss: 0.9775, Acc: 0.6562]
Epoch: 1728 	Train:[Loss: 0.6751, Acc: 0.7522] 	Val:[Loss: 0.9993, Acc: 0.6667]
Epoch: 1760 	Train:[Loss: 0.6685, Acc: 0.7478] 	Val:[Loss: 0.9985, Acc: 0.6354]
