Data split into training (915 samples), validation (114 samples), and testing (114 samples) sets.
Number of classes: 6
Feature data normalized using z-score normalization.
Layer: [in:11] [out:16] [activation:Tanh]
Layer: [in:16] [out:64] [activation:Tanh]
Layer: [in:64] [out:128] [activation:Tanh]
Layer: [in:128] [out:256] [activation:Tanh]
Layer: [in:256] [out:6] [activation:Softmax]
                                                                                                                                                                                                            

Epoch: 0 	Train:[Loss: 7.8745, Acc: 0.3036] 	Val:[Loss: 5.5556, Acc: 0.2500]
Epoch: 32 	Train:[Loss: 1.7291, Acc: 0.4542] 	Val:[Loss: 1.1751, Acc: 0.4688]
Epoch: 64 	Train:[Loss: 1.7925, Acc: 0.4219] 	Val:[Loss: 1.8266, Acc: 0.4375]
Epoch: 96 	Train:[Loss: 1.7660, Acc: 0.4252] 	Val:[Loss: 1.6291, Acc: 0.4792]
Epoch: 128 	Train:[Loss: 1.6408, Acc: 0.4275] 	Val:[Loss: 1.4322, Acc: 0.4583]
Epoch: 160 	Train:[Loss: 1.6406, Acc: 0.4353] 	Val:[Loss: 1.5902, Acc: 0.4375]
Epoch: 192 	Train:[Loss: 1.5374, Acc: 0.4710] 	Val:[Loss: 1.3773, Acc: 0.4583]
Epoch: 224 	Train:[Loss: 1.5159, Acc: 0.4531] 	Val:[Loss: 1.4996, Acc: 0.5312]
Epoch: 256 	Train:[Loss: 1.5627, Acc: 0.4598] 	Val:[Loss: 1.4199, Acc: 0.5104]
Epoch: 288 	Train:[Loss: 1.4623, Acc: 0.4688] 	Val:[Loss: 1.3840, Acc: 0.5104]
Epoch: 320 	Train:[Loss: 1.4892, Acc: 0.4810] 	Val:[Loss: 1.2503, Acc: 0.5104]
Epoch: 352 	Train:[Loss: 1.3668, Acc: 0.4810] 	Val:[Loss: 1.4217, Acc: 0.5104]
Epoch: 384 	Train:[Loss: 1.3396, Acc: 0.5011] 	Val:[Loss: 1.4046, Acc: 0.5000]
Epoch: 416 	Train:[Loss: 1.2755, Acc: 0.5179] 	Val:[Loss: 1.4726, Acc: 0.4896]
Epoch: 448 	Train:[Loss: 1.1468, Acc: 0.5491] 	Val:[Loss: 1.3722, Acc: 0.5521]
Epoch: 480 	Train:[Loss: 1.5470, Acc: 0.4877] 	Val:[Loss: 1.5573, Acc: 0.3958]
