Data split into training (915 samples), validation (114 samples), and testing (114 samples) sets.
Number of classes: 6
Feature data normalized using z-score normalization.
Layer: [in:11] [out:16] [activation:Tanh]
Layer: [in:16] [out:32] [activation:Tanh]
Layer: [in:32] [out:32] [activation:Tanh]
Layer: [in:32] [out:16] [activation:Tanh]
Layer: [in:16] [out:6] [activation:Softmax]
                                                                                                                                                                                                            

Epoch: 0 	Train:[Loss: 1.5540, Acc: 0.3973] 	Val:[Loss: 1.1683, Acc: 0.3333]
Epoch: 16 	Train:[Loss: 1.1163, Acc: 0.4721] 	Val:[Loss: 1.1649, Acc: 0.5104]
Epoch: 32 	Train:[Loss: 1.0875, Acc: 0.5045] 	Val:[Loss: 1.1251, Acc: 0.5000]
Epoch: 48 	Train:[Loss: 1.0669, Acc: 0.5223] 	Val:[Loss: 1.0998, Acc: 0.5729]
Epoch: 64 	Train:[Loss: 1.0456, Acc: 0.5402] 	Val:[Loss: 1.1400, Acc: 0.5521]
Epoch: 80 	Train:[Loss: 1.0319, Acc: 0.5446] 	Val:[Loss: 1.1317, Acc: 0.5521]
Epoch: 96 	Train:[Loss: 1.0162, Acc: 0.5424] 	Val:[Loss: 1.1104, Acc: 0.5521]
Epoch: 112 	Train:[Loss: 1.0160, Acc: 0.5357] 	Val:[Loss: 1.0855, Acc: 0.5938]
Epoch: 128 	Train:[Loss: 0.9993, Acc: 0.5402] 	Val:[Loss: 1.0991, Acc: 0.5729]
Epoch: 144 	Train:[Loss: 1.0009, Acc: 0.5502] 	Val:[Loss: 1.1334, Acc: 0.5417]
Epoch: 160 	Train:[Loss: 0.9896, Acc: 0.5536] 	Val:[Loss: 1.1497, Acc: 0.5729]
Epoch: 176 	Train:[Loss: 0.9634, Acc: 0.5603] 	Val:[Loss: 1.1550, Acc: 0.5312]
Epoch: 192 	Train:[Loss: 0.9672, Acc: 0.5670] 	Val:[Loss: 1.1392, Acc: 0.5729]
Epoch: 208 	Train:[Loss: 0.9232, Acc: 0.5692] 	Val:[Loss: 1.1812, Acc: 0.5312]
Epoch: 224 	Train:[Loss: 0.9682, Acc: 0.5647] 	Val:[Loss: 1.1557, Acc: 0.6042]
Epoch: 240 	Train:[Loss: 0.9265, Acc: 0.5982] 	Val:[Loss: 1.2036, Acc: 0.5729]
Epoch: 256 	Train:[Loss: 0.9573, Acc: 0.5592] 	Val:[Loss: 1.1431, Acc: 0.5729]
Epoch: 272 	Train:[Loss: 0.9316, Acc: 0.5971] 	Val:[Loss: 1.1216, Acc: 0.5729]
Epoch: 288 	Train:[Loss: 0.9103, Acc: 0.6060] 	Val:[Loss: 1.1688, Acc: 0.6042]
Epoch: 304 	Train:[Loss: 0.9057, Acc: 0.6161] 	Val:[Loss: 1.3075, Acc: 0.5625]
Epoch: 320 	Train:[Loss: 0.9084, Acc: 0.6150] 	Val:[Loss: 1.2167, Acc: 0.5833]
Epoch: 336 	Train:[Loss: 0.8880, Acc: 0.6083] 	Val:[Loss: 1.2286, Acc: 0.5833]
