Data split into training (915 samples), validation (114 samples), and testing (114 samples) sets.
Number of classes: 6
Feature data normalized using z-score normalization.
Layer: [in:11] [out:16] [activation:Tanh]
Layer: [in:16] [out:32] [activation:Tanh]
Layer: [in:32] [out:32] [activation:Tanh]
Layer: [in:32] [out:16] [activation:Tanh]
Layer: [in:16] [out:6] [activation:Softmax]
                                                                                                                                                                                                            

Epoch: 0 	Train:[Loss: 2.3272, Acc: 0.3850] 	Val:[Loss: 1.8363, Acc: 0.5417]
Epoch: 16 	Train:[Loss: 1.1506, Acc: 0.4866] 	Val:[Loss: 1.0717, Acc: 0.5833]
Epoch: 32 	Train:[Loss: 1.1177, Acc: 0.5112] 	Val:[Loss: 1.0362, Acc: 0.5729]
Epoch: 48 	Train:[Loss: 1.1018, Acc: 0.5246] 	Val:[Loss: 1.0281, Acc: 0.5625]
Epoch: 64 	Train:[Loss: 1.0895, Acc: 0.5368] 	Val:[Loss: 1.0186, Acc: 0.5521]
Epoch: 80 	Train:[Loss: 1.0772, Acc: 0.5446] 	Val:[Loss: 1.0143, Acc: 0.5625]
Epoch: 96 	Train:[Loss: 1.0660, Acc: 0.5424] 	Val:[Loss: 1.0167, Acc: 0.5833]
Epoch: 112 	Train:[Loss: 1.0551, Acc: 0.5569] 	Val:[Loss: 1.0159, Acc: 0.5938]
Epoch: 128 	Train:[Loss: 1.0463, Acc: 0.5558] 	Val:[Loss: 1.0121, Acc: 0.5833]
Epoch: 144 	Train:[Loss: 1.0381, Acc: 0.5536] 	Val:[Loss: 1.0078, Acc: 0.5729]
Epoch: 160 	Train:[Loss: 1.0255, Acc: 0.5692] 	Val:[Loss: 1.0211, Acc: 0.5938]
Epoch: 176 	Train:[Loss: 1.0154, Acc: 0.5770] 	Val:[Loss: 1.0138, Acc: 0.5625]
Epoch: 192 	Train:[Loss: 1.0060, Acc: 0.5792] 	Val:[Loss: 0.9913, Acc: 0.5729]
Epoch: 208 	Train:[Loss: 0.9993, Acc: 0.5781] 	Val:[Loss: 0.9739, Acc: 0.5625]
Epoch: 224 	Train:[Loss: 0.9916, Acc: 0.5837] 	Val:[Loss: 0.9880, Acc: 0.5729]
Epoch: 240 	Train:[Loss: 0.9821, Acc: 0.5926] 	Val:[Loss: 0.9892, Acc: 0.5625]
Epoch: 256 	Train:[Loss: 0.9721, Acc: 0.6060] 	Val:[Loss: 0.9747, Acc: 0.5833]
Epoch: 272 	Train:[Loss: 0.9650, Acc: 0.6105] 	Val:[Loss: 0.9918, Acc: 0.5625]
Epoch: 288 	Train:[Loss: 0.9585, Acc: 0.6071] 	Val:[Loss: 1.0003, Acc: 0.5938]
Epoch: 304 	Train:[Loss: 0.9493, Acc: 0.6172] 	Val:[Loss: 1.0007, Acc: 0.6042]
Epoch: 320 	Train:[Loss: 0.9441, Acc: 0.6183] 	Val:[Loss: 1.0001, Acc: 0.6042]
Epoch: 336 	Train:[Loss: 0.9406, Acc: 0.6217] 	Val:[Loss: 0.9984, Acc: 0.6042]
