(1143, 6)
(1143, 11)
Data split into training (915 samples), validation (114 samples), and testing (114 samples) sets.
Number of classes: 6
Feature data normalized using z-score normalization.
                                                                                                                                                                                                            
Epoch: 0 	Train:[Loss: 6.6840, Acc: 0.3571] 	Val:[Loss: 8.6151, Acc: 0.2708]
Epoch: 32 	Train:[Loss: 1.5230, Acc: 0.4141] 	Val:[Loss: 1.3714, Acc: 0.3750]
Epoch: 64 	Train:[Loss: 1.3130, Acc: 0.4353] 	Val:[Loss: 1.1052, Acc: 0.4792]
Epoch: 96 	Train:[Loss: 1.5419, Acc: 0.4431] 	Val:[Loss: 1.1888, Acc: 0.4583]
Epoch: 128 	Train:[Loss: 1.4826, Acc: 0.4509] 	Val:[Loss: 1.0963, Acc: 0.4792]
Epoch: 160 	Train:[Loss: 1.4234, Acc: 0.4531] 	Val:[Loss: 1.0327, Acc: 0.4688]
Epoch: 192 	Train:[Loss: 1.5313, Acc: 0.4498] 	Val:[Loss: 1.4506, Acc: 0.4792]
Epoch: 224 	Train:[Loss: 1.4668, Acc: 0.4665] 	Val:[Loss: 1.1403, Acc: 0.5208]
Epoch: 256 	Train:[Loss: 1.4976, Acc: 0.4531] 	Val:[Loss: 1.3774, Acc: 0.5104]
Epoch: 288 	Train:[Loss: 1.4356, Acc: 0.4565] 	Val:[Loss: 1.2779, Acc: 0.5104]
Epoch: 320 	Train:[Loss: 1.3190, Acc: 0.4911] 	Val:[Loss: 1.1705, Acc: 0.6146]
Epoch: 352 	Train:[Loss: 1.3418, Acc: 0.4821] 	Val:[Loss: 1.1200, Acc: 0.5521]
Epoch: 384 	Train:[Loss: 1.3477, Acc: 0.4955] 	Val:[Loss: 1.3719, Acc: 0.5208]
Epoch: 416 	Train:[Loss: 1.3746, Acc: 0.4754] 	Val:[Loss: 1.3214, Acc: 0.5208]
Epoch: 448 	Train:[Loss: 1.3089, Acc: 0.4732] 	Val:[Loss: 1.2164, Acc: 0.4792]
Epoch: 480 	Train:[Loss: 1.2771, Acc: 0.4933] 	Val:[Loss: 1.3457, Acc: 0.5417]
Epoch: 512 	Train:[Loss: 1.2837, Acc: 0.4754] 	Val:[Loss: 1.3836, Acc: 0.5521]
Epoch: 544 	Train:[Loss: 1.2766, Acc: 0.4900] 	Val:[Loss: 1.3960, Acc: 0.5417]
Epoch: 576 	Train:[Loss: 1.2294, Acc: 0.4989] 	Val:[Loss: 1.3129, Acc: 0.5417]
Epoch: 608 	Train:[Loss: 1.3185, Acc: 0.4844] 	Val:[Loss: 1.2036, Acc: 0.5312]
Epoch: 640 	Train:[Loss: 1.0746, Acc: 0.5290] 	Val:[Loss: 1.2857, Acc: 0.5312]
Epoch: 672 	Train:[Loss: 1.1868, Acc: 0.5033] 	Val:[Loss: 1.2782, Acc: 0.5312]
Epoch: 704 	Train:[Loss: 1.2909, Acc: 0.4833] 	Val:[Loss: 1.5065, Acc: 0.4896]
Epoch: 736 	Train:[Loss: 1.1559, Acc: 0.5246] 	Val:[Loss: 1.3025, Acc: 0.5000]
Epoch: 768 	Train:[Loss: 1.2193, Acc: 0.5156] 	Val:[Loss: 1.5277, Acc: 0.5208]
Epoch: 800 	Train:[Loss: 1.1662, Acc: 0.5078] 	Val:[Loss: 1.3034, Acc: 0.5312]
Epoch: 832 	Train:[Loss: 1.1320, Acc: 0.5201] 	Val:[Loss: 1.3210, Acc: 0.5312]
Epoch: 864 	Train:[Loss: 1.2274, Acc: 0.5145] 	Val:[Loss: 1.4534, Acc: 0.5104]
Epoch: 896 	Train:[Loss: 1.1259, Acc: 0.5435] 	Val:[Loss: 1.3436, Acc: 0.5312]
Epoch: 928 	Train:[Loss: 1.0339, Acc: 0.5614] 	Val:[Loss: 1.3449, Acc: 0.5417]
Epoch: 960 	Train:[Loss: 1.0844, Acc: 0.5469] 	Val:[Loss: 1.4873, Acc: 0.5000]
Epoch: 992 	Train:[Loss: 1.1028, Acc: 0.5379] 	Val:[Loss: 1.4478, Acc: 0.5208]
Epoch: 1024 	Train:[Loss: 0.9822, Acc: 0.5826] 	Val:[Loss: 1.2753, Acc: 0.6875]
Epoch: 1056 	Train:[Loss: 0.9695, Acc: 0.5859] 	Val:[Loss: 1.0864, Acc: 0.7083]
Epoch: 1088 	Train:[Loss: 0.8958, Acc: 0.6027] 	Val:[Loss: 1.1597, Acc: 0.6979]
Epoch: 1120 	Train:[Loss: 0.9944, Acc: 0.5759] 	Val:[Loss: 1.1198, Acc: 0.7083]
Epoch: 1152 	Train:[Loss: 0.9667, Acc: 0.5837] 	Val:[Loss: 1.2935, Acc: 0.6250]
Epoch: 1184 	Train:[Loss: 1.0047, Acc: 0.5837] 	Val:[Loss: 1.3486, Acc: 0.5521]
Epoch: 1216 	Train:[Loss: 1.0653, Acc: 0.5324] 	Val:[Loss: 1.4844, Acc: 0.5208]
Epoch: 1248 	Train:[Loss: 0.9069, Acc: 0.6004] 	Val:[Loss: 1.2343, Acc: 0.6146]
Epoch: 1280 	Train:[Loss: 1.0088, Acc: 0.5748] 	Val:[Loss: 1.3908, Acc: 0.5625]
Epoch: 1312 	Train:[Loss: 1.0530, Acc: 0.5424] 	Val:[Loss: 1.3279, Acc: 0.5521]
Epoch: 1344 	Train:[Loss: 1.0129, Acc: 0.5670] 	Val:[Loss: 1.9194, Acc: 0.4792]
Epoch: 1376 	Train:[Loss: 0.8416, Acc: 0.6339] 	Val:[Loss: 1.3415, Acc: 0.6250]
Epoch: 1408 	Train:[Loss: 0.8875, Acc: 0.6116] 	Val:[Loss: 1.4715, Acc: 0.5312]
Epoch: 1440 	Train:[Loss: 0.7704, Acc: 0.6618] 	Val:[Loss: 1.3793, Acc: 0.5729]
Epoch: 1472 	Train:[Loss: 1.0382, Acc: 0.5625] 	Val:[Loss: 1.3263, Acc: 0.5417]
Epoch: 1504 	Train:[Loss: 0.9052, Acc: 0.6138] 	Val:[Loss: 1.3004, Acc: 0.7292]
Epoch: 1536 	Train:[Loss: 0.7640, Acc: 0.6652] 	Val:[Loss: 1.2869, Acc: 0.7396]
Epoch: 1568 	Train:[Loss: 0.7862, Acc: 0.6540] 	Val:[Loss: 1.2211, Acc: 0.7188]
Epoch: 1600 	Train:[Loss: 0.8792, Acc: 0.6239] 	Val:[Loss: 1.2821, Acc: 0.7292]
