Index(['age', 'gender', 'income', 'education', 'married', 'children', 'city',
       'occupation', 'purchase_amount', 'most bought item', 'labels'],
      dtype='object')
Data split into training (900 samples), validation (50 samples), and testing (50 samples) sets.
Number of classes: 8
Feature data normalized using z-score normalization.
                                                                                                                                                                                                            
Epoch: 0 	Train:[Loss: 1.4245, Acc: 0.4869] 	Val:[Loss: 1.2263, Acc: 0.4961]
Epoch: 64 	Train:[Loss: 0.6261, Acc: 0.6628] 	Val:[Loss: 0.6648, Acc: 0.6367]
Epoch: 128 	Train:[Loss: 0.6162, Acc: 0.6691] 	Val:[Loss: 0.6556, Acc: 0.6406]
Epoch: 192 	Train:[Loss: 0.6103, Acc: 0.6712] 	Val:[Loss: 0.6618, Acc: 0.6211]
Epoch: 256 	Train:[Loss: 0.6060, Acc: 0.6769] 	Val:[Loss: 0.6687, Acc: 0.6289]
Epoch: 320 	Train:[Loss: 0.6009, Acc: 0.6783] 	Val:[Loss: 0.6782, Acc: 0.6289]
Epoch: 384 	Train:[Loss: 0.5972, Acc: 0.6798] 	Val:[Loss: 0.6847, Acc: 0.6211]
Epoch: 448 	Train:[Loss: 0.5940, Acc: 0.6833] 	Val:[Loss: 0.6885, Acc: 0.6211]
Epoch: 512 	Train:[Loss: 0.5910, Acc: 0.6842] 	Val:[Loss: 0.6975, Acc: 0.6172]
Epoch: 576 	Train:[Loss: 0.5886, Acc: 0.6892] 	Val:[Loss: 0.7062, Acc: 0.6172]
Epoch: 640 	Train:[Loss: 0.5864, Acc: 0.6862] 	Val:[Loss: 0.7142, Acc: 0.6172]
Epoch: 704 	Train:[Loss: 0.5844, Acc: 0.6879] 	Val:[Loss: 0.7190, Acc: 0.6172]
Epoch: 768 	Train:[Loss: 0.5824, Acc: 0.6907] 	Val:[Loss: 0.7209, Acc: 0.6016]
Epoch: 832 	Train:[Loss: 0.5804, Acc: 0.6915] 	Val:[Loss: 0.7265, Acc: 0.6055]
Epoch: 896 	Train:[Loss: 0.5788, Acc: 0.6913] 	Val:[Loss: 0.7317, Acc: 0.6016]
Epoch: 960 	Train:[Loss: 0.5772, Acc: 0.6934] 	Val:[Loss: 0.7335, Acc: 0.6016]
Epoch: 1024 	Train:[Loss: 0.5760, Acc: 0.6928] 	Val:[Loss: 0.7364, Acc: 0.5977]
Epoch: 1088 	Train:[Loss: 0.5749, Acc: 0.6949] 	Val:[Loss: 0.7385, Acc: 0.5977]
Epoch: 1152 	Train:[Loss: 0.5738, Acc: 0.6936] 	Val:[Loss: 0.7392, Acc: 0.6016]
Epoch: 1216 	Train:[Loss: 0.5728, Acc: 0.6953] 	Val:[Loss: 0.7390, Acc: 0.5977]
Epoch: 1280 	Train:[Loss: 0.5717, Acc: 0.6960] 	Val:[Loss: 0.7390, Acc: 0.5898]
Epoch: 1344 	Train:[Loss: 0.5705, Acc: 0.6968] 	Val:[Loss: 0.7385, Acc: 0.5938]
Epoch: 1408 	Train:[Loss: 0.5693, Acc: 0.6974] 	Val:[Loss: 0.7378, Acc: 0.5938]
Epoch: 1472 	Train:[Loss: 0.5681, Acc: 0.6988] 	Val:[Loss: 0.7380, Acc: 0.5898]
Epoch: 1536 	Train:[Loss: 0.5670, Acc: 0.6987] 	Val:[Loss: 0.7380, Acc: 0.5938]
Epoch: 1600 	Train:[Loss: 0.5661, Acc: 0.7008] 	Val:[Loss: 0.7442, Acc: 0.5977]
Epoch: 1664 	Train:[Loss: 0.5647, Acc: 0.7024] 	Val:[Loss: 0.7506, Acc: 0.6055]
Epoch: 1728 	Train:[Loss: 0.5635, Acc: 0.7030] 	Val:[Loss: 0.7554, Acc: 0.6055]
Epoch: 1792 	Train:[Loss: 0.5625, Acc: 0.7044] 	Val:[Loss: 0.7623, Acc: 0.6016]
