(506,)
(506, 13)
Data split into training (406 samples), validation (50 samples), and testing (50 samples) sets.
Number of classes: 229
Feature data normalized using z-score normalization.
Training:   0%|                                                                                                                                                                 | 0/4000 [00:00<?, ?epoch/s]/home/autrio/college-linx/SMAI/smai-m24-assignments-Autrio/models/MLP/MLP2.py:307: RuntimeWarning: invalid value encountered in log
  return np.mean(np.sum(-y  * np.log(y_pred+1e-9), axis=-1))
                                                                                                                                                                                                            
Epoch: 0 	Train:[Loss: nan, Acc: -5.3607] 	Val:[Loss: -44.6397, Acc: -2.4564]
Epoch: 32 	Train:[Loss: -71.9973, Acc: 0.3036] 	Val:[Loss: -70.3692, Acc: 0.4927]
Epoch: 64 	Train:[Loss: -72.1583, Acc: 0.3220] 	Val:[Loss: -69.9928, Acc: 0.5589]
Epoch: 96 	Train:[Loss: -72.2134, Acc: 0.3409] 	Val:[Loss: -69.6413, Acc: 0.5926]
Epoch: 128 	Train:[Loss: -72.2293, Acc: 0.3591] 	Val:[Loss: -69.7314, Acc: 0.6137]
Epoch: 160 	Train:[Loss: -72.2815, Acc: 0.3749] 	Val:[Loss: -69.9189, Acc: 0.6341]
Epoch: 192 	Train:[Loss: -72.3243, Acc: 0.3932] 	Val:[Loss: -69.9456, Acc: 0.6538]
Epoch: 224 	Train:[Loss: -72.3547, Acc: 0.4321] 	Val:[Loss: -69.8219, Acc: 0.6901]
Epoch: 256 	Train:[Loss: -72.4681, Acc: 0.4312] 	Val:[Loss: -69.5421, Acc: 0.7032]
Epoch: 288 	Train:[Loss: -72.5052, Acc: 0.4413] 	Val:[Loss: -69.7128, Acc: 0.7080]
Epoch: 320 	Train:[Loss: -72.4247, Acc: 0.4429] 	Val:[Loss: -69.6580, Acc: 0.7224]
Epoch: 352 	Train:[Loss: -72.4597, Acc: 0.4685] 	Val:[Loss: -69.8630, Acc: 0.7263]
Epoch: 384 	Train:[Loss: -72.4532, Acc: 0.4727] 	Val:[Loss: -70.2745, Acc: 0.7314]
Epoch: 416 	Train:[Loss: -72.5775, Acc: 0.4127] 	Val:[Loss: -69.2910, Acc: 0.7173]
Epoch: 448 	Train:[Loss: -72.5248, Acc: 0.4849] 	Val:[Loss: -70.8771, Acc: 0.7267]
Epoch: 480 	Train:[Loss: -72.5323, Acc: 0.4741] 	Val:[Loss: -71.0870, Acc: 0.7255]
Epoch: 512 	Train:[Loss: -72.4749, Acc: 0.4746] 	Val:[Loss: -71.3451, Acc: 0.7231]
Epoch: 544 	Train:[Loss: -72.4396, Acc: 0.5064] 	Val:[Loss: -71.6337, Acc: 0.7243]
Epoch: 576 	Train:[Loss: -72.5910, Acc: 0.4852] 	Val:[Loss: -69.5409, Acc: 0.7024]
Epoch: 608 	Train:[Loss: -72.6725, Acc: 0.4534] 	Val:[Loss: -69.5949, Acc: 0.7027]
Epoch: 640 	Train:[Loss: -72.5710, Acc: 0.5919] 	Val:[Loss: -73.1778, Acc: 0.6426]
Epoch: 672 	Train:[Loss: -72.6806, Acc: 0.5646] 	Val:[Loss: -70.7065, Acc: 0.7221]
Epoch: 704 	Train:[Loss: -72.3830, Acc: 0.5658] 	Val:[Loss: -70.9496, Acc: 0.7208]
Epoch: 736 	Train:[Loss: -72.6680, Acc: 0.5983] 	Val:[Loss: -73.5845, Acc: 0.6213]
Epoch: 768 	Train:[Loss: -72.6204, Acc: 0.5945] 	Val:[Loss: -70.7831, Acc: 0.7194]
Epoch: 800 	Train:[Loss: -72.2841, Acc: 0.5096] 	Val:[Loss: -70.5164, Acc: 0.7269]
Epoch: 832 	Train:[Loss: -72.6480, Acc: 0.5649] 	Val:[Loss: -70.1637, Acc: 0.7170]
Epoch: 864 	Train:[Loss: -72.6027, Acc: 0.6429] 	Val:[Loss: -73.7004, Acc: 0.6116]
Epoch: 896 	Train:[Loss: -72.4582, Acc: 0.5842] 	Val:[Loss: -72.8815, Acc: 0.7009]
Epoch: 928 	Train:[Loss: -73.0430, Acc: 0.6939] 	Val:[Loss: -69.8534, Acc: 0.7509]
Epoch: 960 	Train:[Loss: -73.0530, Acc: 0.6101] 	Val:[Loss: -70.2400, Acc: 0.7424]
Epoch: 992 	Train:[Loss: -72.8741, Acc: 0.3779] 	Val:[Loss: -69.5516, Acc: 0.7098]
Epoch: 1024 	Train:[Loss: -72.8421, Acc: 0.4724] 	Val:[Loss: -69.9945, Acc: 0.7273]
Epoch: 1056 	Train:[Loss: -72.0045, Acc: 0.5343] 	Val:[Loss: -70.1094, Acc: 0.7389]
Epoch: 1088 	Train:[Loss: -72.6501, Acc: 0.7141] 	Val:[Loss: -72.3630, Acc: 0.7173]
Epoch: 1120 	Train:[Loss: -72.6849, Acc: 0.5910] 	Val:[Loss: -71.5412, Acc: 0.7347]
Epoch: 1152 	Train:[Loss: -72.7571, Acc: 0.5962] 	Val:[Loss: -71.0885, Acc: 0.7476]
Epoch: 1184 	Train:[Loss: -72.6896, Acc: 0.6335] 	Val:[Loss: -70.6617, Acc: 0.7518]
Epoch: 1216 	Train:[Loss: -72.3212, Acc: 0.6128] 	Val:[Loss: -72.3700, Acc: 0.7059]
Epoch: 1248 	Train:[Loss: -72.5950, Acc: 0.6552] 	Val:[Loss: -73.2890, Acc: 0.6515]
Epoch: 1280 	Train:[Loss: -72.2794, Acc: 0.5868] 	Val:[Loss: -72.9398, Acc: 0.6684]
Epoch: 1312 	Train:[Loss: -72.4161, Acc: 0.5786] 	Val:[Loss: -72.0848, Acc: 0.7186]
Epoch: 1344 	Train:[Loss: -72.5151, Acc: 0.5138] 	Val:[Loss: -69.8205, Acc: 0.7460]
Epoch: 1376 	Train:[Loss: -72.7924, Acc: 0.6589] 	Val:[Loss: -69.1394, Acc: 0.7267]
Epoch: 1408 	Train:[Loss: -72.7402, Acc: 0.5988] 	Val:[Loss: -71.9876, Acc: 0.7445]
Epoch: 1440 	Train:[Loss: -73.1628, Acc: 0.6747] 	Val:[Loss: -69.9887, Acc: 0.7670]
Epoch: 1472 	Train:[Loss: -72.6538, Acc: 0.6307] 	Val:[Loss: -70.9897, Acc: 0.7663]
Epoch: 1504 	Train:[Loss: -73.1476, Acc: 0.6772] 	Val:[Loss: -69.7374, Acc: 0.7624]
Epoch: 1536 	Train:[Loss: -73.0794, Acc: 0.5654] 	Val:[Loss: -70.3913, Acc: 0.7816]
Epoch: 1568 	Train:[Loss: -72.5178, Acc: 0.5707] 	Val:[Loss: -71.4045, Acc: 0.7749]
Epoch: 1600 	Train:[Loss: -72.7128, Acc: 0.6978] 	Val:[Loss: -69.8757, Acc: 0.7632]
Epoch: 1632 	Train:[Loss: -72.8568, Acc: 0.7038] 	Val:[Loss: -69.2513, Acc: 0.7320]
Epoch: 1664 	Train:[Loss: -73.0548, Acc: 0.6624] 	Val:[Loss: -67.0747, Acc: 0.5730]
Epoch: 1696 	Train:[Loss: -72.9206, Acc: 0.6900] 	Val:[Loss: -68.3318, Acc: 0.6827]
