(506,)
(506, 13)
Data split into training (406 samples), validation (50 samples), and testing (50 samples) sets.
Number of classes: 229
Feature data normalized using z-score normalization.
                                                                                                                                                                                                            
Epoch: 0 	Train:[Loss: 342.6681, Acc: -3.0458] 	Val:[Loss: 192.5204, Acc: -1.1757]
Epoch: 32 	Train:[Loss: 61.6907, Acc: 0.2929] 	Val:[Loss: 50.3193, Acc: 0.4313]
Epoch: 64 	Train:[Loss: 59.6433, Acc: 0.3166] 	Val:[Loss: 44.3116, Acc: 0.4992]
Epoch: 96 	Train:[Loss: 57.4147, Acc: 0.3433] 	Val:[Loss: 40.9411, Acc: 0.5373]
Epoch: 128 	Train:[Loss: 55.2200, Acc: 0.3689] 	Val:[Loss: 39.1412, Acc: 0.5577]
Epoch: 160 	Train:[Loss: 57.4687, Acc: 0.3459] 	Val:[Loss: 38.3710, Acc: 0.5664]
Epoch: 192 	Train:[Loss: 54.4235, Acc: 0.3816] 	Val:[Loss: 33.6348, Acc: 0.6199]
Epoch: 224 	Train:[Loss: 50.7559, Acc: 0.4217] 	Val:[Loss: 33.4145, Acc: 0.6224]
Epoch: 256 	Train:[Loss: 48.2872, Acc: 0.4515] 	Val:[Loss: 31.9587, Acc: 0.6388]
Epoch: 288 	Train:[Loss: 48.1364, Acc: 0.4558] 	Val:[Loss: 27.6723, Acc: 0.6873]
Epoch: 320 	Train:[Loss: 49.3064, Acc: 0.4357] 	Val:[Loss: 29.1418, Acc: 0.6707]
Epoch: 352 	Train:[Loss: 47.8039, Acc: 0.4594] 	Val:[Loss: 30.8866, Acc: 0.6509]
Epoch: 384 	Train:[Loss: 48.6260, Acc: 0.4429] 	Val:[Loss: 30.3805, Acc: 0.6567]
Epoch: 416 	Train:[Loss: 44.4081, Acc: 0.4958] 	Val:[Loss: 31.3557, Acc: 0.6456]
Epoch: 448 	Train:[Loss: 41.3157, Acc: 0.5296] 	Val:[Loss: 33.8553, Acc: 0.6174]
Epoch: 480 	Train:[Loss: 48.9908, Acc: 0.4315] 	Val:[Loss: 26.0036, Acc: 0.7061]
Epoch: 512 	Train:[Loss: 54.6462, Acc: 0.3814] 	Val:[Loss: 31.6538, Acc: 0.6423]
Epoch: 544 	Train:[Loss: 45.0904, Acc: 0.4785] 	Val:[Loss: 35.0466, Acc: 0.6039]
Epoch: 576 	Train:[Loss: 57.9265, Acc: 0.3254] 	Val:[Loss: 28.8026, Acc: 0.6745]
Epoch: 608 	Train:[Loss: 37.1445, Acc: 0.5757] 	Val:[Loss: 26.1152, Acc: 0.7049]
Epoch: 640 	Train:[Loss: 41.0822, Acc: 0.5273] 	Val:[Loss: 25.9010, Acc: 0.7073]
