Index(['age', 'gender', 'income', 'education', 'married', 'children', 'city',
       'occupation', 'purchase_amount', 'most bought item', 'labels'],
      dtype='object')
Data split into training (900 samples), validation (50 samples), and testing (50 samples) sets.
Number of classes: 8
Feature data normalized using z-score normalization.
                                                                                                                                                                                                            
Epoch: 0 	Train:[Loss: 1.2003, Acc: 0.4987] 	Val:[Loss: 0.9947, Acc: 0.5742]
Epoch: 64 	Train:[Loss: 0.6344, Acc: 0.6599] 	Val:[Loss: 0.6391, Acc: 0.6367]
Epoch: 128 	Train:[Loss: 0.6254, Acc: 0.6648] 	Val:[Loss: 0.6407, Acc: 0.6445]
Epoch: 192 	Train:[Loss: 0.6205, Acc: 0.6694] 	Val:[Loss: 0.6463, Acc: 0.6445]
Epoch: 256 	Train:[Loss: 0.6163, Acc: 0.6710] 	Val:[Loss: 0.6509, Acc: 0.6484]
Epoch: 320 	Train:[Loss: 0.6133, Acc: 0.6738] 	Val:[Loss: 0.6539, Acc: 0.6484]
Epoch: 384 	Train:[Loss: 0.6109, Acc: 0.6762] 	Val:[Loss: 0.6570, Acc: 0.6523]
Epoch: 448 	Train:[Loss: 0.6085, Acc: 0.6798] 	Val:[Loss: 0.6591, Acc: 0.6484]
Epoch: 512 	Train:[Loss: 0.6063, Acc: 0.6791] 	Val:[Loss: 0.6586, Acc: 0.6406]
Epoch: 576 	Train:[Loss: 0.6044, Acc: 0.6809] 	Val:[Loss: 0.6575, Acc: 0.6484]
Epoch: 640 	Train:[Loss: 0.6025, Acc: 0.6830] 	Val:[Loss: 0.6560, Acc: 0.6523]
Epoch: 704 	Train:[Loss: 0.6006, Acc: 0.6843] 	Val:[Loss: 0.6552, Acc: 0.6562]
Epoch: 768 	Train:[Loss: 0.5987, Acc: 0.6865] 	Val:[Loss: 0.6554, Acc: 0.6523]
Epoch: 832 	Train:[Loss: 0.5969, Acc: 0.6875] 	Val:[Loss: 0.6558, Acc: 0.6602]
Epoch: 896 	Train:[Loss: 0.5951, Acc: 0.6876] 	Val:[Loss: 0.6563, Acc: 0.6680]
Epoch: 960 	Train:[Loss: 0.5934, Acc: 0.6897] 	Val:[Loss: 0.6563, Acc: 0.6641]
Epoch: 1024 	Train:[Loss: 0.5918, Acc: 0.6927] 	Val:[Loss: 0.6566, Acc: 0.6602]
Epoch: 1088 	Train:[Loss: 0.5904, Acc: 0.6939] 	Val:[Loss: 0.6574, Acc: 0.6641]
Epoch: 1152 	Train:[Loss: 0.5891, Acc: 0.6948] 	Val:[Loss: 0.6584, Acc: 0.6602]
Epoch: 1216 	Train:[Loss: 0.5878, Acc: 0.6955] 	Val:[Loss: 0.6600, Acc: 0.6680]
Epoch: 1280 	Train:[Loss: 0.5864, Acc: 0.6956] 	Val:[Loss: 0.6621, Acc: 0.6641]
Epoch: 1344 	Train:[Loss: 0.5847, Acc: 0.6971] 	Val:[Loss: 0.6639, Acc: 0.6719]
Epoch: 1408 	Train:[Loss: 0.5833, Acc: 0.6963] 	Val:[Loss: 0.6652, Acc: 0.6719]
Epoch: 1472 	Train:[Loss: 0.5822, Acc: 0.6978] 	Val:[Loss: 0.6673, Acc: 0.6680]
Epoch: 1536 	Train:[Loss: 0.5811, Acc: 0.6989] 	Val:[Loss: 0.6692, Acc: 0.6719]
Epoch: 1600 	Train:[Loss: 0.5800, Acc: 0.6987] 	Val:[Loss: 0.6706, Acc: 0.6719]
Epoch: 1664 	Train:[Loss: 0.5791, Acc: 0.6996] 	Val:[Loss: 0.6716, Acc: 0.6680]
Epoch: 1728 	Train:[Loss: 0.5783, Acc: 0.7002] 	Val:[Loss: 0.6729, Acc: 0.6680]
Epoch: 1792 	Train:[Loss: 0.5775, Acc: 0.6999] 	Val:[Loss: 0.6746, Acc: 0.6758]
Epoch: 1856 	Train:[Loss: 0.5767, Acc: 0.6995] 	Val:[Loss: 0.6756, Acc: 0.6719]
Epoch: 1920 	Train:[Loss: 0.5760, Acc: 0.6996] 	Val:[Loss: 0.6779, Acc: 0.6680]
Epoch: 1984 	Train:[Loss: 0.5752, Acc: 0.7006] 	Val:[Loss: 0.6808, Acc: 0.6602]
