(506,)
(506, 13)
Data split into training (406 samples), validation (50 samples), and testing (50 samples) sets.
Number of classes: 1
Feature data normalized using z-score normalization.
Layer: [in:13] [out:16] [activation:Tanh]
Layer: [in:16] [out:32] [activation:Tanh]
Layer: [in:32] [out:32] [activation:Tanh]
Layer: [in:32] [out:16] [activation:Tanh]
Layer: [in:16] [out:1] [activation:Linear]
Training: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3000/3000 [00:16<00:00, 186.42epoch/s, Train Acc=0.986, Val Acc=0.908]

Epoch: 0 	Train:[Loss: 609.2059, Acc: -5.7572] 	Val:[Loss: 583.5863, Acc: -5.5953]
Epoch: 128 	Train:[Loss: 57.0495, Acc: 0.3672] 	Val:[Loss: 49.9967, Acc: 0.4350]
Epoch: 256 	Train:[Loss: 35.2995, Acc: 0.6085] 	Val:[Loss: 30.9162, Acc: 0.6506]
Epoch: 384 	Train:[Loss: 21.1698, Acc: 0.7652] 	Val:[Loss: 18.9417, Acc: 0.7859]
Epoch: 512 	Train:[Loss: 14.3305, Acc: 0.8410] 	Val:[Loss: 13.5437, Acc: 0.8469]
Epoch: 640 	Train:[Loss: 10.4340, Acc: 0.8843] 	Val:[Loss: 10.5086, Acc: 0.8812]
Epoch: 768 	Train:[Loss: 7.7835, Acc: 0.9137] 	Val:[Loss: 9.2214, Acc: 0.8958]
Epoch: 896 	Train:[Loss: 5.9133, Acc: 0.9344] 	Val:[Loss: 8.3912, Acc: 0.9052]
Epoch: 1024 	Train:[Loss: 4.6736, Acc: 0.9482] 	Val:[Loss: 7.7975, Acc: 0.9119]
Epoch: 1152 	Train:[Loss: 3.8743, Acc: 0.9570] 	Val:[Loss: 7.3206, Acc: 0.9173]
Epoch: 1280 	Train:[Loss: 3.3540, Acc: 0.9628] 	Val:[Loss: 6.7712, Acc: 0.9235]
Epoch: 1408 	Train:[Loss: 3.0748, Acc: 0.9659] 	Val:[Loss: 6.2308, Acc: 0.9296]
Epoch: 1536 	Train:[Loss: 2.8405, Acc: 0.9685] 	Val:[Loss: 6.0177, Acc: 0.9320]
Epoch: 1664 	Train:[Loss: 2.5895, Acc: 0.9713] 	Val:[Loss: 5.9427, Acc: 0.9328]
Epoch: 1792 	Train:[Loss: 2.3831, Acc: 0.9736] 	Val:[Loss: 5.9223, Acc: 0.9331]
Epoch: 1920 	Train:[Loss: 2.2010, Acc: 0.9756] 	Val:[Loss: 5.9494, Acc: 0.9328]
Epoch: 2048 	Train:[Loss: 2.0390, Acc: 0.9774] 	Val:[Loss: 6.0197, Acc: 0.9320]
Epoch: 2176 	Train:[Loss: 1.8966, Acc: 0.9790] 	Val:[Loss: 6.1250, Acc: 0.9308]
Epoch: 2304 	Train:[Loss: 1.7716, Acc: 0.9804] 	Val:[Loss: 6.2476, Acc: 0.9294]
Epoch: 2432 	Train:[Loss: 1.6611, Acc: 0.9816] 	Val:[Loss: 6.3751, Acc: 0.9280]
Epoch: 2560 	Train:[Loss: 1.5631, Acc: 0.9827] 	Val:[Loss: 6.5025, Acc: 0.9265]
Epoch: 2688 	Train:[Loss: 1.4757, Acc: 0.9836] 	Val:[Loss: 6.6287, Acc: 0.9251]
Epoch: 2816 	Train:[Loss: 1.3973, Acc: 0.9845] 	Val:[Loss: 6.7544, Acc: 0.9237]
Epoch: 2944 	Train:[Loss: 1.3267, Acc: 0.9853] 	Val:[Loss: 6.8811, Acc: 0.9222]
