(1143, 6)
(1143, 11)
Data split into training (915 samples), validation (114 samples), and testing (114 samples) sets.
Number of classes: 6
Feature data normalized using z-score normalization.
Layer: [in:11] [out:32] [activation:Sigmoid]
Layer: [in:32] [out:128] [activation:Sigmoid]
Layer: [in:128] [out:128] [activation:Sigmoid]
Layer: [in:128] [out:32] [activation:Sigmoid]
Layer: [in:32] [out:6] [activation:Linear]
Training: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3000/3000 [18:25<00:00,  2.71epoch/s, Train Acc=0.854, Val Acc=0.858]

Epoch: 0 	Train:[Loss: 7.1879, Acc: 0.6973] 	Val:[Loss: 6.5903, Acc: 0.7986]
Epoch: 128 	Train:[Loss: 1.1952, Acc: 0.8333] 	Val:[Loss: 1.1555, Acc: 0.8333]
Epoch: 256 	Train:[Loss: 1.1882, Acc: 0.8333] 	Val:[Loss: 1.1495, Acc: 0.8333]
Epoch: 384 	Train:[Loss: 1.1812, Acc: 0.8333] 	Val:[Loss: 1.1435, Acc: 0.8333]
Epoch: 512 	Train:[Loss: 1.1741, Acc: 0.8333] 	Val:[Loss: 1.1371, Acc: 0.8333]
Epoch: 640 	Train:[Loss: 1.1665, Acc: 0.8333] 	Val:[Loss: 1.1303, Acc: 0.8333]
Epoch: 768 	Train:[Loss: 1.1584, Acc: 0.8333] 	Val:[Loss: 1.1229, Acc: 0.8333]
Epoch: 896 	Train:[Loss: 1.1496, Acc: 0.8353] 	Val:[Loss: 1.1146, Acc: 0.8438]
Epoch: 1024 	Train:[Loss: 1.1398, Acc: 0.8392] 	Val:[Loss: 1.1054, Acc: 0.8490]
Epoch: 1152 	Train:[Loss: 1.1290, Acc: 0.8422] 	Val:[Loss: 1.0951, Acc: 0.8576]
Epoch: 1280 	Train:[Loss: 1.1170, Acc: 0.8459] 	Val:[Loss: 1.0835, Acc: 0.8594]
Epoch: 1408 	Train:[Loss: 1.1037, Acc: 0.8505] 	Val:[Loss: 1.0707, Acc: 0.8646]
Epoch: 1536 	Train:[Loss: 1.0891, Acc: 0.8531] 	Val:[Loss: 1.0569, Acc: 0.8663]
Epoch: 1664 	Train:[Loss: 1.0738, Acc: 0.8542] 	Val:[Loss: 1.0427, Acc: 0.8715]
Epoch: 1792 	Train:[Loss: 1.0584, Acc: 0.8572] 	Val:[Loss: 1.0291, Acc: 0.8681]
Epoch: 1920 	Train:[Loss: 1.0438, Acc: 0.8559] 	Val:[Loss: 1.0173, Acc: 0.8646]
Epoch: 2048 	Train:[Loss: 1.0305, Acc: 0.8529] 	Val:[Loss: 1.0086, Acc: 0.8646]
Epoch: 2176 	Train:[Loss: 1.0192, Acc: 0.8537] 	Val:[Loss: 1.0054, Acc: 0.8594]
Epoch: 2304 	Train:[Loss: 1.0104, Acc: 0.8533] 	Val:[Loss: 1.0368, Acc: 0.8594]
Epoch: 2432 	Train:[Loss: 1.0060, Acc: 0.8535] 	Val:[Loss: 1.2796, Acc: 0.8594]
Epoch: 2560 	Train:[Loss: 1.0747, Acc: 0.8548] 	Val:[Loss: 1.2793, Acc: 0.8576]
Epoch: 2688 	Train:[Loss: 1.0701, Acc: 0.8544] 	Val:[Loss: 1.2847, Acc: 0.8594]
Epoch: 2816 	Train:[Loss: 1.0667, Acc: 0.8537] 	Val:[Loss: 1.5876, Acc: 0.8576]
Epoch: 2944 	Train:[Loss: 1.0645, Acc: 0.8533] 	Val:[Loss: 1.5870, Acc: 0.8576]
