(506,)
(506, 13)
Data split into training (406 samples), validation (50 samples), and testing (50 samples) sets.
Number of classes: 1
Feature data normalized using z-score normalization.
Layer: [in:13] [out:16] [activation:ReLU]
Layer: [in:16] [out:64] [activation:ReLU]
Layer: [in:64] [out:128] [activation:ReLU]
Layer: [in:128] [out:256] [activation:ReLU]
Layer: [in:256] [out:1] [activation:Linear]
Training: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 2000/2000 [04:31<00:00,  7.35epoch/s, Train Acc=0.967, Val Acc=0.897]

Epoch: 0 	Train:[Loss: 619.4327, Acc: -5.8707] 	Val:[Loss: 334.8943, Acc: -2.7848]
Epoch: 128 	Train:[Loss: 10.5907, Acc: 0.8825] 	Val:[Loss: 5.6559, Acc: 0.9361]
Epoch: 256 	Train:[Loss: 9.4968, Acc: 0.8947] 	Val:[Loss: 8.0307, Acc: 0.9092]
Epoch: 384 	Train:[Loss: 8.1520, Acc: 0.9096] 	Val:[Loss: 8.2935, Acc: 0.9063]
Epoch: 512 	Train:[Loss: 7.1202, Acc: 0.9210] 	Val:[Loss: 8.1859, Acc: 0.9075]
Epoch: 640 	Train:[Loss: 6.4834, Acc: 0.9281] 	Val:[Loss: 8.3214, Acc: 0.9060]
Epoch: 768 	Train:[Loss: 6.0550, Acc: 0.9328] 	Val:[Loss: 8.5513, Acc: 0.9034]
Epoch: 896 	Train:[Loss: 5.5519, Acc: 0.9384] 	Val:[Loss: 8.6526, Acc: 0.9022]
Epoch: 1024 	Train:[Loss: 5.1235, Acc: 0.9432] 	Val:[Loss: 8.6382, Acc: 0.9024]
Epoch: 1152 	Train:[Loss: 4.6430, Acc: 0.9485] 	Val:[Loss: 8.5917, Acc: 0.9029]
Epoch: 1280 	Train:[Loss: 4.2679, Acc: 0.9527] 	Val:[Loss: 8.7092, Acc: 0.9016]
Epoch: 1408 	Train:[Loss: 4.1588, Acc: 0.9539] 	Val:[Loss: 8.9991, Acc: 0.8983]
Epoch: 1536 	Train:[Loss: 3.6603, Acc: 0.9594] 	Val:[Loss: 8.8788, Acc: 0.8997]
Epoch: 1664 	Train:[Loss: 3.7128, Acc: 0.9588] 	Val:[Loss: 9.2915, Acc: 0.8950]
Epoch: 1792 	Train:[Loss: 3.5646, Acc: 0.9605] 	Val:[Loss: 9.4892, Acc: 0.8928]
Epoch: 1920 	Train:[Loss: 3.2048, Acc: 0.9645] 	Val:[Loss: 9.4665, Acc: 0.8930]
