(506,)
(506, 13)
Data split into training (406 samples), validation (50 samples), and testing (50 samples) sets.
Number of classes: 1
Feature data normalized using z-score normalization.
Layer: [in:13] [out:16] [activation:ReLU]
Layer: [in:16] [out:64] [activation:ReLU]
Layer: [in:64] [out:128] [activation:ReLU]
Layer: [in:128] [out:256] [activation:ReLU]
Layer: [in:256] [out:1] [activation:Linear]
Training: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 3000/3000 [06:10<00:00,  8.10epoch/s, Train Acc=0.99, Val Acc=0.893]

Epoch: 0 	Train:[Loss: 578.7041, Acc: -5.4189] 	Val:[Loss: 282.7636, Acc: -2.1956]
Epoch: 128 	Train:[Loss: 13.7790, Acc: 0.8472] 	Val:[Loss: 17.5078, Acc: 0.8021]
Epoch: 256 	Train:[Loss: 8.7493, Acc: 0.9030] 	Val:[Loss: 13.2803, Acc: 0.8499]
Epoch: 384 	Train:[Loss: 6.8092, Acc: 0.9245] 	Val:[Loss: 12.0302, Acc: 0.8640]
Epoch: 512 	Train:[Loss: 5.4607, Acc: 0.9394] 	Val:[Loss: 11.0747, Acc: 0.8748]
Epoch: 640 	Train:[Loss: 4.6772, Acc: 0.9481] 	Val:[Loss: 10.5505, Acc: 0.8808]
Epoch: 768 	Train:[Loss: 4.1468, Acc: 0.9540] 	Val:[Loss: 10.1669, Acc: 0.8851]
Epoch: 896 	Train:[Loss: 3.7746, Acc: 0.9581] 	Val:[Loss: 9.8868, Acc: 0.8883]
Epoch: 1024 	Train:[Loss: 3.2778, Acc: 0.9636] 	Val:[Loss: 9.5330, Acc: 0.8923]
Epoch: 1152 	Train:[Loss: 3.1872, Acc: 0.9646] 	Val:[Loss: 9.6121, Acc: 0.8914]
Epoch: 1280 	Train:[Loss: 2.8768, Acc: 0.9681] 	Val:[Loss: 9.3813, Acc: 0.8940]
Epoch: 1408 	Train:[Loss: 2.7260, Acc: 0.9698] 	Val:[Loss: 9.3309, Acc: 0.8945]
Epoch: 1536 	Train:[Loss: 2.3985, Acc: 0.9734] 	Val:[Loss: 9.0804, Acc: 0.8974]
Epoch: 1664 	Train:[Loss: 2.4109, Acc: 0.9733] 	Val:[Loss: 9.2123, Acc: 0.8959]
Epoch: 1792 	Train:[Loss: 2.0247, Acc: 0.9775] 	Val:[Loss: 8.9612, Acc: 0.8987]
Epoch: 1920 	Train:[Loss: 1.8465, Acc: 0.9795] 	Val:[Loss: 8.9291, Acc: 0.8991]
Epoch: 2048 	Train:[Loss: 1.6905, Acc: 0.9812] 	Val:[Loss: 8.9299, Acc: 0.8991]
Epoch: 2176 	Train:[Loss: 1.9879, Acc: 0.9780] 	Val:[Loss: 9.2926, Acc: 0.8950]
Epoch: 2304 	Train:[Loss: 1.4744, Acc: 0.9836] 	Val:[Loss: 8.8754, Acc: 0.8997]
Epoch: 2432 	Train:[Loss: 1.3079, Acc: 0.9855] 	Val:[Loss: 8.8555, Acc: 0.8999]
Epoch: 2560 	Train:[Loss: 1.3331, Acc: 0.9852] 	Val:[Loss: 8.9830, Acc: 0.8985]
Epoch: 2688 	Train:[Loss: 1.5291, Acc: 0.9830] 	Val:[Loss: 9.2700, Acc: 0.8952]
Epoch: 2816 	Train:[Loss: 1.6179, Acc: 0.9821] 	Val:[Loss: 9.4224, Acc: 0.8935]
Epoch: 2944 	Train:[Loss: 1.5356, Acc: 0.9830] 	Val:[Loss: 9.4061, Acc: 0.8937]
