(1143, 6)
(1143, 11)
Data split into training (915 samples), validation (114 samples), and testing (114 samples) sets.
Number of classes: 6
Feature data normalized using z-score normalization.
Layer: [in:11] [out:16] [activation:Tanh]
Layer: [in:16] [out:64] [activation:Tanh]
Layer: [in:64] [out:128] [activation:Tanh]
Layer: [in:128] [out:256] [activation:Tanh]
Layer: [in:256] [out:6] [activation:Linear]
Training: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 5000/5000 [12:33<00:00,  6.63epoch/s, Train Acc=1, Val Acc=0.878]

Epoch: 0 	Train:[Loss: 16.9579, Acc: 0.6273] 	Val:[Loss: 11.6488, Acc: 0.7778]
Epoch: 256 	Train:[Loss: 1.3072, Acc: 0.9206] 	Val:[Loss: 3.9334, Acc: 0.8715]
Epoch: 512 	Train:[Loss: 0.5427, Acc: 0.9548] 	Val:[Loss: 3.8523, Acc: 0.8715]
Epoch: 768 	Train:[Loss: 0.2119, Acc: 0.9808] 	Val:[Loss: 6.9890, Acc: 0.8733]
Epoch: 1024 	Train:[Loss: 0.1463, Acc: 0.9909] 	Val:[Loss: 7.5368, Acc: 0.8854]
Epoch: 1280 	Train:[Loss: 0.0757, Acc: 0.9980] 	Val:[Loss: 8.5484, Acc: 0.8733]
Epoch: 1536 	Train:[Loss: 0.0476, Acc: 0.9990] 	Val:[Loss: 8.1646, Acc: 0.8802]
Epoch: 1792 	Train:[Loss: 0.0296, Acc: 0.9997] 	Val:[Loss: 8.1800, Acc: 0.8802]
Epoch: 2048 	Train:[Loss: 0.0198, Acc: 0.9997] 	Val:[Loss: 8.1866, Acc: 0.8802]
Epoch: 2304 	Train:[Loss: 0.0139, Acc: 1.0000] 	Val:[Loss: 7.8761, Acc: 0.8785]
Epoch: 2560 	Train:[Loss: 0.0100, Acc: 1.0000] 	Val:[Loss: 7.8544, Acc: 0.8785]
Epoch: 2816 	Train:[Loss: 0.0073, Acc: 1.0000] 	Val:[Loss: 7.8528, Acc: 0.8785]
Epoch: 3072 	Train:[Loss: 0.0054, Acc: 1.0000] 	Val:[Loss: 7.8544, Acc: 0.8785]
Epoch: 3328 	Train:[Loss: 0.0040, Acc: 1.0000] 	Val:[Loss: 7.8575, Acc: 0.8767]
Epoch: 3584 	Train:[Loss: 0.0030, Acc: 1.0000] 	Val:[Loss: 7.8606, Acc: 0.8767]
Epoch: 3840 	Train:[Loss: 0.0022, Acc: 1.0000] 	Val:[Loss: 7.8628, Acc: 0.8767]
Epoch: 4096 	Train:[Loss: 0.0017, Acc: 1.0000] 	Val:[Loss: 7.8640, Acc: 0.8785]
Epoch: 4352 	Train:[Loss: 0.0013, Acc: 1.0000] 	Val:[Loss: 7.8646, Acc: 0.8785]
Epoch: 4608 	Train:[Loss: 0.0010, Acc: 1.0000] 	Val:[Loss: 7.8651, Acc: 0.8785]
Epoch: 4864 	Train:[Loss: 0.0008, Acc: 1.0000] 	Val:[Loss: 7.8658, Acc: 0.8785]
