(1143, 6)
(1143, 11)
Data split into training (915 samples), validation (114 samples), and testing (114 samples) sets.
Number of classes: 6
Feature data normalized using z-score normalization.
(11,)
                                                                                                                                                                                                            
Epoch: 0 	Train:[Loss: 0.1474, Acc: 0.1641] 	Val:[Loss: 0.1465, Acc: 0.1667]
Epoch: 10 	Train:[Loss: 0.1223, Acc: 0.3783] 	Val:[Loss: 0.1210, Acc: 0.4375]
Epoch: 20 	Train:[Loss: 0.1089, Acc: 0.5033] 	Val:[Loss: 0.1083, Acc: 0.5625]
Epoch: 30 	Train:[Loss: 0.1027, Acc: 0.5257] 	Val:[Loss: 0.1032, Acc: 0.5000]
Epoch: 40 	Train:[Loss: 0.0996, Acc: 0.5290] 	Val:[Loss: 0.1005, Acc: 0.4896]
Epoch: 50 	Train:[Loss: 0.0977, Acc: 0.5435] 	Val:[Loss: 0.0984, Acc: 0.5104]
Epoch: 60 	Train:[Loss: 0.0961, Acc: 0.5592] 	Val:[Loss: 0.0963, Acc: 0.5312]
Epoch: 70 	Train:[Loss: 0.0947, Acc: 0.5714] 	Val:[Loss: 0.0945, Acc: 0.5312]
Epoch: 80 	Train:[Loss: 0.0936, Acc: 0.5725] 	Val:[Loss: 0.0928, Acc: 0.5521]
Epoch: 90 	Train:[Loss: 0.0926, Acc: 0.5737] 	Val:[Loss: 0.0913, Acc: 0.5938]
Epoch: 100 	Train:[Loss: 0.0917, Acc: 0.5815] 	Val:[Loss: 0.0900, Acc: 0.5938]
Epoch: 110 	Train:[Loss: 0.0909, Acc: 0.5938] 	Val:[Loss: 0.0888, Acc: 0.6250]
Epoch: 120 	Train:[Loss: 0.0901, Acc: 0.5949] 	Val:[Loss: 0.0878, Acc: 0.6458]
Epoch: 130 	Train:[Loss: 0.0895, Acc: 0.6027] 	Val:[Loss: 0.0868, Acc: 0.6458]
Epoch: 140 	Train:[Loss: 0.0889, Acc: 0.6038] 	Val:[Loss: 0.0860, Acc: 0.6458]
Epoch: 150 	Train:[Loss: 0.0884, Acc: 0.6049] 	Val:[Loss: 0.0852, Acc: 0.6458]
Epoch: 160 	Train:[Loss: 0.0879, Acc: 0.6083] 	Val:[Loss: 0.0845, Acc: 0.6458]
Epoch: 170 	Train:[Loss: 0.0875, Acc: 0.6116] 	Val:[Loss: 0.0839, Acc: 0.6562]
Epoch: 180 	Train:[Loss: 0.0871, Acc: 0.6161] 	Val:[Loss: 0.0833, Acc: 0.6562]
Epoch: 190 	Train:[Loss: 0.0867, Acc: 0.6183] 	Val:[Loss: 0.0828, Acc: 0.6562]
Epoch: 200 	Train:[Loss: 0.0864, Acc: 0.6250] 	Val:[Loss: 0.0824, Acc: 0.6562]
Epoch: 210 	Train:[Loss: 0.0861, Acc: 0.6250] 	Val:[Loss: 0.0819, Acc: 0.6667]
Epoch: 220 	Train:[Loss: 0.0858, Acc: 0.6261] 	Val:[Loss: 0.0815, Acc: 0.6667]
Epoch: 230 	Train:[Loss: 0.0855, Acc: 0.6283] 	Val:[Loss: 0.0811, Acc: 0.6771]
Epoch: 240 	Train:[Loss: 0.0852, Acc: 0.6306] 	Val:[Loss: 0.0808, Acc: 0.6771]
Epoch: 250 	Train:[Loss: 0.0850, Acc: 0.6295] 	Val:[Loss: 0.0804, Acc: 0.6771]
Epoch: 260 	Train:[Loss: 0.0847, Acc: 0.6306] 	Val:[Loss: 0.0801, Acc: 0.6771]
Epoch: 270 	Train:[Loss: 0.0845, Acc: 0.6317] 	Val:[Loss: 0.0798, Acc: 0.6875]
Epoch: 280 	Train:[Loss: 0.0842, Acc: 0.6362] 	Val:[Loss: 0.0794, Acc: 0.6875]
Epoch: 290 	Train:[Loss: 0.0840, Acc: 0.6373] 	Val:[Loss: 0.0791, Acc: 0.6875]
Epoch: 300 	Train:[Loss: 0.0838, Acc: 0.6384] 	Val:[Loss: 0.0789, Acc: 0.6875]
Epoch: 310 	Train:[Loss: 0.0836, Acc: 0.6395] 	Val:[Loss: 0.0786, Acc: 0.6875]
Epoch: 320 	Train:[Loss: 0.0833, Acc: 0.6406] 	Val:[Loss: 0.0783, Acc: 0.6875]
Epoch: 330 	Train:[Loss: 0.0831, Acc: 0.6429] 	Val:[Loss: 0.0780, Acc: 0.6875]
Epoch: 340 	Train:[Loss: 0.0829, Acc: 0.6429] 	Val:[Loss: 0.0778, Acc: 0.6875]
Epoch: 350 	Train:[Loss: 0.0827, Acc: 0.6417] 	Val:[Loss: 0.0775, Acc: 0.6875]
Epoch: 360 	Train:[Loss: 0.0825, Acc: 0.6429] 	Val:[Loss: 0.0773, Acc: 0.6875]
Epoch: 370 	Train:[Loss: 0.0822, Acc: 0.6440] 	Val:[Loss: 0.0770, Acc: 0.6979]
Epoch: 380 	Train:[Loss: 0.0820, Acc: 0.6440] 	Val:[Loss: 0.0767, Acc: 0.6979]
Epoch: 390 	Train:[Loss: 0.0818, Acc: 0.6451] 	Val:[Loss: 0.0765, Acc: 0.6979]
Epoch: 400 	Train:[Loss: 0.0816, Acc: 0.6451] 	Val:[Loss: 0.0762, Acc: 0.6979]
Epoch: 410 	Train:[Loss: 0.0814, Acc: 0.6451] 	Val:[Loss: 0.0759, Acc: 0.6979]
Epoch: 420 	Train:[Loss: 0.0812, Acc: 0.6440] 	Val:[Loss: 0.0756, Acc: 0.7083]
Epoch: 430 	Train:[Loss: 0.0810, Acc: 0.6462] 	Val:[Loss: 0.0754, Acc: 0.7083]
Epoch: 440 	Train:[Loss: 0.0808, Acc: 0.6473] 	Val:[Loss: 0.0753, Acc: 0.7083]
Epoch: 450 	Train:[Loss: 0.0806, Acc: 0.6484] 	Val:[Loss: 0.0751, Acc: 0.7083]
Epoch: 460 	Train:[Loss: 0.0804, Acc: 0.6529] 	Val:[Loss: 0.0750, Acc: 0.7083]
Epoch: 470 	Train:[Loss: 0.0802, Acc: 0.6562] 	Val:[Loss: 0.0749, Acc: 0.7083]
Epoch: 480 	Train:[Loss: 0.0800, Acc: 0.6562] 	Val:[Loss: 0.0748, Acc: 0.6979]
Epoch: 490 	Train:[Loss: 0.0798, Acc: 0.6551] 	Val:[Loss: 0.0747, Acc: 0.6979]
Epoch: 500 	Train:[Loss: 0.0797, Acc: 0.6540] 	Val:[Loss: 0.0746, Acc: 0.6979]
Epoch: 510 	Train:[Loss: 0.0795, Acc: 0.6551] 	Val:[Loss: 0.0745, Acc: 0.6979]
Epoch: 520 	Train:[Loss: 0.0793, Acc: 0.6574] 	Val:[Loss: 0.0744, Acc: 0.6979]
Epoch: 530 	Train:[Loss: 0.0791, Acc: 0.6574] 	Val:[Loss: 0.0744, Acc: 0.6979]
