(506,)
(506, 13)
Data split into training (406 samples), validation (50 samples), and testing (50 samples) sets.
Number of classes: 1
Feature data normalized using z-score normalization.
Layer: [in:13] [out:16] [activation:ReLU]
Layer: [in:16] [out:32] [activation:ReLU]
Layer: [in:32] [out:32] [activation:ReLU]
Layer: [in:32] [out:16] [activation:ReLU]
Layer: [in:16] [out:1] [activation:Linear]
Training: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1000/1000 [00:02<00:00, 435.87epoch/s, Train Acc=0.945, Val Acc=0.927]

Epoch: 0 	Train:[Loss: 545.4957, Acc: -5.0506] 	Val:[Loss: 454.7139, Acc: -4.1389]
Epoch: 100 	Train:[Loss: 13.4901, Acc: 0.8504] 	Val:[Loss: 9.7786, Acc: 0.8895]
Epoch: 200 	Train:[Loss: 16.0970, Acc: 0.8215] 	Val:[Loss: 14.2662, Acc: 0.8388]
Epoch: 300 	Train:[Loss: 9.5190, Acc: 0.8944] 	Val:[Loss: 10.3117, Acc: 0.8835]
Epoch: 400 	Train:[Loss: 8.2735, Acc: 0.9082] 	Val:[Loss: 9.8998, Acc: 0.8881]
Epoch: 500 	Train:[Loss: 7.3129, Acc: 0.9189] 	Val:[Loss: 9.5427, Acc: 0.8922]
Epoch: 600 	Train:[Loss: 6.5543, Acc: 0.9273] 	Val:[Loss: 9.3647, Acc: 0.8942]
Epoch: 700 	Train:[Loss: 6.1695, Acc: 0.9316] 	Val:[Loss: 9.4559, Acc: 0.8931]
Epoch: 800 	Train:[Loss: 5.7104, Acc: 0.9367] 	Val:[Loss: 9.3643, Acc: 0.8942]
Epoch: 900 	Train:[Loss: 5.4004, Acc: 0.9401] 	Val:[Loss: 9.3950, Acc: 0.8938]
Epoch: 999 	Train:[Loss: 4.9714, Acc: 0.9449] 	Val:[Loss: 6.4578, Acc: 0.9270]
