(506,)
(506, 13)
Data split into training (406 samples), validation (50 samples), and testing (50 samples) sets.
Number of classes: 1
Feature data normalized using z-score normalization.
{'lr': 0.045229041437152936, 'batch_size': 64, 'epoch': 5000, 'optimizer': 'mini-batch', 'loss_fn': 'MSELoss', 'activation': 'Tanh', 'type': 'regression', 'early_stopping': True, 'activations': 'Sigmoid', 'model_architecture': 'arch5'}
Layer: [in:13] [out:16] [activation:Sigmoid]
Layer: [in:16] [out:64] [activation:Sigmoid]
Layer: [in:64] [out:128] [activation:Sigmoid]
Layer: [in:128] [out:256] [activation:Sigmoid]
Layer: [in:256] [out:1] [activation:Linear]
                                                                                                                                                                                                           

Epoch: 0 	Train:[Loss: 640.5775, Acc: -6.1052] 	Val:[Loss: 465.5610, Acc: -4.2615]
Epoch: 100 	Train:[Loss: 89.5177, Acc: 0.0071] 	Val:[Loss: 87.8035, Acc: 0.0077]
Epoch: 200 	Train:[Loss: 89.0608, Acc: 0.0122] 	Val:[Loss: 87.2039, Acc: 0.0145]
Epoch: 300 	Train:[Loss: 88.4394, Acc: 0.0190] 	Val:[Loss: 86.4019, Acc: 0.0235]
Epoch: 400 	Train:[Loss: 87.5264, Acc: 0.0292] 	Val:[Loss: 85.2438, Acc: 0.0366]
Epoch: 500 	Train:[Loss: 86.0961, Acc: 0.0450] 	Val:[Loss: 83.4590, Acc: 0.0568]
Epoch: 600 	Train:[Loss: 83.7197, Acc: 0.0714] 	Val:[Loss: 80.5368, Acc: 0.0898]
Epoch: 700 	Train:[Loss: 79.5706, Acc: 0.1174] 	Val:[Loss: 75.4995, Acc: 0.1468]
Epoch: 800 	Train:[Loss: 72.2808, Acc: 0.1983] 	Val:[Loss: 66.7300, Acc: 0.2459]
Epoch: 900 	Train:[Loss: 61.0380, Acc: 0.3230] 	Val:[Loss: 53.2251, Acc: 0.3985]
Epoch: 1000 	Train:[Loss: 48.5288, Acc: 0.4617] 	Val:[Loss: 38.1827, Acc: 0.5685]
Epoch: 1100 	Train:[Loss: 37.4522, Acc: 0.5846] 	Val:[Loss: 25.7498, Acc: 0.7090]
Epoch: 1200 	Train:[Loss: 29.0366, Acc: 0.6779] 	Val:[Loss: 17.8692, Acc: 0.7981]
Epoch: 1300 	Train:[Loss: 25.0850, Acc: 0.7218] 	Val:[Loss: 14.8188, Acc: 0.8325]
