(506,)
(506, 13)
Data split into training (406 samples), validation (50 samples), and testing (50 samples) sets.
Number of classes: 1
Feature data normalized using z-score normalization.
{'lr': 0.02378130819485255, 'batch_size': 128, 'epoch': 5000, 'optimizer': 'mini-batch', 'loss_fn': 'MSELoss', 'activation': 'Tanh', 'type': 'regression', 'early_stopping': True, 'activations': 'Sigmoid', 'model_architecture': 'arch5'}
Layer: [in:13] [out:16] [activation:Sigmoid]
Layer: [in:16] [out:64] [activation:Sigmoid]
Layer: [in:64] [out:128] [activation:Sigmoid]
Layer: [in:128] [out:256] [activation:Sigmoid]
Layer: [in:256] [out:1] [activation:Linear]
                                                                                                                                                                                                           

Epoch: 0 	Train:[Loss: 624.3616, Acc: -5.9253] 	Val:[Loss: 453.4529, Acc: -4.1246]
Epoch: 100 	Train:[Loss: 89.5889, Acc: 0.0063] 	Val:[Loss: 87.9019, Acc: 0.0066]
Epoch: 200 	Train:[Loss: 88.9406, Acc: 0.0135] 	Val:[Loss: 87.0210, Acc: 0.0165]
Epoch: 300 	Train:[Loss: 88.1199, Acc: 0.0226] 	Val:[Loss: 85.9206, Acc: 0.0290]
Epoch: 400 	Train:[Loss: 86.9593, Acc: 0.0355] 	Val:[Loss: 84.3893, Acc: 0.0463]
Epoch: 500 	Train:[Loss: 85.1585, Acc: 0.0554] 	Val:[Loss: 82.0534, Acc: 0.0727]
Epoch: 600 	Train:[Loss: 82.1322, Acc: 0.0890] 	Val:[Loss: 78.1960, Acc: 0.1163]
Epoch: 700 	Train:[Loss: 76.7618, Acc: 0.1486] 	Val:[Loss: 71.4716, Acc: 0.1923]
Epoch: 800 	Train:[Loss: 67.5335, Acc: 0.2509] 	Val:[Loss: 60.0922, Acc: 0.3209]
Epoch: 900 	Train:[Loss: 55.0753, Acc: 0.3891] 	Val:[Loss: 44.8234, Acc: 0.4934]
Epoch: 1000 	Train:[Loss: 43.7371, Acc: 0.5149] 	Val:[Loss: 31.2288, Acc: 0.6471]
